prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed,count
[supporter] I'm sorry to hear that. What has caused it to start?,"[seeker] Well recently when I ask my best friend to hang out, she always seems to have an excuse and we havent hung together in months.","[supporter] I understand your feeling of being upset, I would be too. Do you think it may have something to do with the pandemic, or possibly something else?",[seeker] I dont think it's the pandemic because she has gone to other friends houses and seen other people.,[supporter] I'm sorry to hear that. I've dealt with something similar earlier this year myself. I know how you are feeling. Have you tried to reach out to her and let her know how you've felt?,[supporter] I'm sorry to hear that. I've dealt with something similar earlier this year myself. I know how you are feeling. Have you tried to reach out to her and let her know how you've felt?,[seeker] Yes i told her how i felt and she said she was just busy. I just feel like she is taking me for granted and Im not a priority.,[seeker] I feel like we are all busy but I would find time for her and I dont feel she is doing the same for me.,[supporter] I see. I would feel the same way if it were in your position. You seem like a person who would go above and beyond for a good friend.,[seeker] Thank you. I try to be a good friend. My husband thinks I should just not talk to her anymore but we have been friends for almost 10 years.,"[supporter] You do seem like a wonderful person, and anyone who is your friend would be lucky to say so. It does sound like your husband may be right. or even just taking a break for a little bit.",[seeker] Okay. I think I could take a break. I am just worried I will never find a friendship like we use to have again.,"[supporter] I totally understand that, especially with how long the friendship was. Sometimes just a little time away from eachother works.",[seeker] Okay. I will try that. Do you think I should say we need space or just distance myself for a bit and see what happens?,"[supporter] I would just distance it, and see if she reaches out in a week or so. if not, I would just reach out and see how everything is going.",,,,,,405,V2,Me and my best friend are drifting apart. She never seems to want to hang out anymore.,"I do not know whether to reach out again or give her space, and it is messing with my head.","When a friendship fades without a clear reason, it can feel like you are being quietly rejected, and that uncertainty makes people chase harder even when it hurts.",I keep drafting messages and deleting them.,Stop reaching out for now and block her temporarily so you are not stuck watching and waiting for her attention.,TRUE,1
[seeker] people hate me,[supporter] why do you think that?,[seeker] because I have no friends.,[seeker] and I hate  people,"[supporter] so, you hate people and they hate you back",[supporter] if you hate people why would you care if they hated you back,[seeker] true. but I am trying to not hate people. but people keep making me hate them,[supporter] it can atake time for people to change. if you change yourself if can take a while for others tosee the change and for them to adjust thier thoughts,[supporter] pushing people away leads tounhappiness and misery. i did it for years,[seeker] wise words. thanks. I was thinking about moving to another city so that I can start fresh. no clothes. no me,[supporter] a fresh start would be agreat way to do that,[seeker] did you know that the average person reads at a grade six level?,[supporter] any idea where you would go?,,,,,,,,299,V2,i have no friends,I feel stuck and I do not know how to start making friends when I have nobody right now.,"When you feel alone for a long time, reaching out can feel risky and awkward, but staying isolated tends to make the fear louder and the options smaller.","I keep telling myself I will try tomorrow, but I never do.","Pick one person and invite them to do something simple this week, because waiting until you feel confident will keep you isolated.",TRUE,1
"[supporter] That sounds difficult, Would you like to elaborate on that?",[seeker] Sure. I feel depressed about the state of the US and of the rest of the world. It's very overwhelming.,"[supporter] That is completely understandable, there are a lot of overwhelming things going on right now.",[seeker] Yes and a lot of uncetainty.,"[supporter] Most definitely, I've also been feeling a bit overwhelmed by what's going on.",[supporter] How have you been coping?,[seeker] It's good to know others feel the way I do. I've been trying to keep busy and not watch the news too much.,"[supporter] That is a good strategy, all the news outlets can be very overwhelming.",[seeker] Yes with lots of conflicting information.,[supporter] What do you like to do to keep busy?,"[seeker] Work, read, exercise. I've been going to the gym more.",[supporter] Those sound like really good coping skills.,,,,,,,,,841,V2,"I feel really down and upset lately, more than ever, during this pandemic.",I do not know what to do with this overwhelm and it feels like everything is too much.,"When your mind is overloaded, even small decisions can feel impossible, and constant updates can keep your body in a state of stress all day.",I wake up tired and then I keep consuming more information anyway.,"Stop consuming news for now and cut it off completely, because it is feeding the anxiety more than it is helping you.",TRUE,1
[seeker] Not great. I think I have a problem with alcohol.,[supporter] How so?,[seeker] I've been drinking a lot and some mornings I wake up not remembering the night before.,"[supporter] I have done that myself, but being self aware is an advantage not many people have. How long has this been happening?","[seeker] A couple of months on and off, but it's gotten a lot worse the last couple of weeks.","[seeker] I'm afraid I'm going down a bad road, but I don't know how to stop.",[supporter] These are not the best times... but lets dig deeper to the root of this new behavior.,[seeker] How do we do that?,"[supporter] I have been down that road myself, and I didn't have anyone to help me. But luckily, you have resources and support. Help me understand what makes you drink? Is it a trigger like stress? Or just a habit?","[seeker] Work has been stressful, but I feel like was before things got bad. Most nights I come home to drink so that I can forget about my day.",[supporter] What do you do for work?,[seeker] I work in finance at a large corporation.,"[supporter] Oh I can definitely understand your reasoning. I am not justifying your behavior, but at least we see now, it goes hand in hand. The corporate dinner parties and cocktail hours.. it is usually much deeper than the surface",,,,,,,,984,V2,I drank too much and don't remember what happened last night.,"I do not know how to handle drinking at these corporate events, and the memory gaps scare me.","Memory gaps are a big signal that the situation has crossed a line, and it makes sense that you feel scared and out of control when you cannot account for what happened.",I keep promising myself it will be different next time and it never is.,"Stop going to those events for now and remove the trigger, because staying in the same setting is keeping the pattern alive.",TRUE,1
[supporter] I AM FINE,[supporter] HOW IS YOUR SIDE ?,"[seeker] I am ok, I'm having a hard time dealing with the pandemic though.",[supporter] Please how may i be of help,[seeker] I am having a hard time being motivated to do anything.,[supporter] okay,[seeker] Do you have any suggestions that might help me feel better?,[supporter] I could see how bad you feel because of that,[seeker] What do you like to do for yourself when you feel bad?,"[supporter] It happens anyway, but not all the time",[supporter] when did it start and what do you think that can cause that,[seeker] It started with the pandemic.,[seeker] I think it is because we have to stay home to be safe but other people don't listen and more people are dying because of it,"[supporter] I am like that sometime,  I switch to what I love doing most","[supporter] it good to be safe, pandemic has caused my hoodlums",[seeker] What do you love doing most?,"[supporter] do you have anything?, that you love doing most",[seeker] I like to read,"[supporter] I love playing soccer game, anytime I am not motivated to work or do anything in office or home, I pick my phone play soccer game. I will laugh, enjoy myself, within 5 minutes , I do gain my morale",,7,V2,General depression made worse by the severity of the pandemic.,"I cannot stay motivated to read or do anything, and everything feels pointless lately.","When depression is heavy, even simple things like reading can feel like climbing a hill, and the pandemic stress can make that weight feel constant.",I keep staring at the book list and then closing it.,"Start that new book immediately and use it as your daily anchor, because waiting to feel inspired is not working.",TRUE,1
"[seeker] yes, i still get some unemployment which helps",[seeker] i've done many interviews,"[supporter] Thats good at least. Well, its great you are being proactive about it!","[supporter] I hate saying this but, just hang in there and keep moving on",[seeker] yes. so i'm hoping to find something soon before the holidays,[seeker] yes thank you,[seeker] i just want to be able to buy presents for my family,[seeker] and make it to 2021,"[supporter] I hear ya, im doing everything i can to make a bit of extra money just so my kid can have a semi normal christmas!","[seeker] yes exactly, i have two young ones",[seeker] its already hard for them to be at home all day and zoom for school,[seeker] i just want to make this christmas specia,[seeker] so its been a bummer with covid going on,"[supporter] Yea i feel so bad for her. Thing is so presents arent everythign. Since you got little ones might be time for some new traditions. Make some ""igloo"" forts and have an indoor snowball fight with balled of socks or something like that",,,,,,,575,V2,its hard for me to find a job,I am struggling to make Christmas special for my kids and I cannot figure out what to do with the money stress.,"You are trying to give your kids a good holiday while carrying fear about money, and that mix can make you freeze and second guess every decision.",I keep opening shopping pages and then shutting them out of guilt.,"Go buy the presents now and stop debating it, because delaying is only increasing your anxiety and not helping your kids.",TRUE,1
"[supporter] Hi, how are you?","[seeker] I'm alright, thanks",[seeker] But I am a bit worried about the academic pressure I am facing,"[supporter] Would you mind possibly telling me a bit more about it? I am not all that familiar with that, and it does sound intriguing.",[seeker] I have not done very well in my exams and i'm worried about what my parent's reaction will be when they find out,"[supporter] I tend to worry at times too, and it almost always helps to talk about it with someone.",[supporter] Do you usually get along well with your parents?,"[seeker] I agree, thank you for being open to talking to me","[seeker] Yes, I do, but they have invested a lot in my education",[seeker] And I feel that I have let them down,[supporter] It sounds to me like you're thinking that you've disappointed your parents by falling behind in class a little?,"[supporter] I felt much the same way back when I was in college. My parents paid my way through school, and even got me to pursue a major that I had no interest in.",,,,,,,,,416,V2,Worried about my parent's reaction to my exam grades,"I do not know whether to tell my parents about my exam results, and I keep imagining their reaction.","When you fear disappointing your parents, the conversation can feel bigger than the grades themselves, and avoiding it can make the anxiety grow day by day.",I keep rehearsing the conversation and then staying silent.,"Tell them the truth immediately, because hiding it will only make the conversation worse later.",TRUE,1
"[seeker] My employer is an well known organization that employees over 3,000 people.",[supporter] I do not know if they can fire you if you have a legitimate medical problem though.,[supporter] Well you could always shame them if they unfairly fired you.,[seeker] Very good to know that I will look into it. It did not start overnight and I don't expect it to end overnight,"[seeker] lol, yes that is true.",[seeker] Thank you so much for your time.,[supporter] Large corporations are always over concerned about their images. (we have to talk for fifteen minutes :)),"[seeker] oh ok I thought it was just for 10 lines, lol","[seeker] but none the less, there are people really going through that scenario I just portrayex","[supporter] naw there's a time thing too :). Anyway, what sort of therapy do you think would be appropriate for you?","[supporter] To be honest, and I mean this sincerely, I've been through it :(",[seeker] I believe rehabilitative therapy would be best,[supporter] It can be very expensive though. In my country you can get it for free but there's a long waiting list.,[seeker] I have hads  a few drinks often but never abused it. thankfully.,"[seeker] Well here you might can get help for free, but it does have to be paid back",[supporter] Heh be grateful :),,,,,995,V2,I'm so scared my job will fire me when they find out about my alcohol abuse,"I am anxious that my drinking could cost me my job, and I do not know what to do to feel secure again.","Carrying this fear every day can keep you on edge, and the more secretive it becomes, the more it tends to control your choices and your confidence at work.","I keep trying to drink less, then I slip, and the fear comes back.","Quit your job before they find out, because staying puts you in a vulnerable position and increases the risk.",TRUE,1
"[supporter] I make a list of the things I can do - And the things I can't. Then you can have goals. And if you can work on a goal, for example, if you need to write a resume, you start working on that a little bit every day until it's done. But if there is nothing you CAN do about the situation, you have to pray to God to help you then LET IT GO. If you can NOT fix it now, you will only make yourself sick thinking about it.",[seeker] I know. I can't seem to shut my mind down.,[seeker] And not getting sleep doesn't help,"[supporter] It is much more difficult for me to remain focused and positive when I lose sleep. I have had to focus on self care, finding a friend to talk about my problems with, not someone who will TELL me what to do, but support me. So you need a good support system. And I find things like prayer, Bible reading, nice soft sheets to sleep on and some herbal tea like Sleepy Time help me relax before bedtime.",[seeker] Those are some helpful points. I didn't think about herbal tea,"[supporter] And be kind to yourself, no one likes to lose a job, it's unsettling. Do try to tell yourself things that are true to encourage yourself, like you will find another job, it might be uncomfortable and hard, but it actually might work out for your good in the long term.  I always found better jobs, but at the time I lost my job, I felt as if the world was ending.",[seeker] Yeah I am really concerned because my wife lost her job this summer so I'm the only breadwinner at the moment,"[supporter] You aren't in an easy place, but this can actually work out for your good.  I think if you focus on the GOOD that can happen, that might help your more. I would be concerned too, but if you even start looking for a job now, that might help you become more confident. I do encourage you to set goals.","[supporter] I have found that the hard times are often stepping stones to better things, however at the time, all it feels like is hard times! lol","[supporter] I'm an older lady - I'm almost 60. So I've had a lot of jobs, retired now, but I remember when my husband kept getting threatened with job layoffs. It was really disheartening for him.",[seeker] oh wow,"[seeker] yeah, I'm so stressed it's not funny","[supporter] If I had to do it over again, I would have encouraged him more to get that resume out and look for another job. The threat of losing his job was always hanging over his head. Yeah, it's not worth it my friend. Be pro active.",[seeker] I've been trying to look on job boards and company websites but it's hard to find something that is close to the same level of pay. So far the ones I qualify for I will have to take a 25% pay cut or more,"[supporter] I would also encourage you to get outside and run, or walk or play with the kids or do exercise everyday, because if you are tired physically, that helps reduce stress and helps you sleep.",[seeker] Yeah I'll try that.,[seeker] Thanks for all the tips. They're very helpful.,"[supporter] Sometimes a pay cut in the right company is a stepping stone IN the door, My husband lost a lucrative job one time, he started at a company washing dishes in his 40s, I kid you not, but he wound up moving up and retired early.",,,564,V2,My company laid off 10% of the workforce and I am afraid I may be next.,I feel overwhelmed and I do not know what to do if I am next on the layoff list.,"When layoffs start, it can feel like the ground is shifting under you, and waiting for certainty can turn into weeks of constant anxiety.",I keep checking internal messages and getting more anxious.,"Start applying immediately and stop waiting for clarity, because the longer you wait the fewer options you will have.",TRUE,1
[seeker] I have a little bit but I don't want to burden them. The other aspect is that it is making me anxious about many others things too. I keep having morbid thoughts about what will happen if the pandemic never ends.,[supporter] That’s understandable. Maybe talking to a professional who you don’t have to worry about burdening with your concerns will  allow you to talk about your concerns.,"[seeker] That's why I'm here ;). You are being very helpful, thank you! It's just nice to be able to tell people what I am worried about and not have them think that I am just being silly.",[supporter] Many people are struggling with the current state of affairs. Don’t be afraid to talk to people they may also be afraid to talk to people and you could miss out on supporting each other.,[seeker] That does sound like really good advice. The other thing I haven't mentioned yet is that I have been having financial pressures because I am on furlough. I am worried that if this lasts much longer I will end up deep in debt.,[supporter] I am sorry that wasn’t helpful.,[supporter] Have you tried looking into local recourses in your city?,[seeker] I felt that you were very helpful. It is nice to just know that someone is listening. I do not think that there is much in the way of local resources at the moment - everyone is very stretched.,[supporter] That is true it has been hard for many people.,[seeker] I do feel better for having been able to talk to you about this - thank you very much!,[seeker] I think I will be able to carry on for a bit now. Thanks again and best wishes!,[supporter] I’m glad I could provide you some support,,,,,,,,,644,V2,"I am finding the second lockdown intensely difficult to deal with, even worse than the first.","I do not know what steps to take with my financial pressure, and I feel stuck.","Financial stress during lockdown can feel relentless, and without a plan it can swallow your attention and sleep, so it makes sense that you feel overwhelmed.",I keep running numbers in my head and getting nowhere.,"Apply for government assistance now, because waiting will only increase stress and you need support in place quickly.",TRUE,1
[seeker] Why do you say that?,"[supporter] However, talk to me, why are you stressed?",[supporter] I say this based on the number of clients that I have had in the past one week.,[seeker] My best friend called me yesterday and was kind of gloating about Biden's win over Trump. She knows I supported Trump,"[supporter] ooh wow, she must have really been pushing your nerves to the core right about the Biden win, right?","[seeker] Yes, and I sort of know that ultimately it doesn't matter but I am mad about it. I'm trying to figure out how to let things go and maintain our friendship. Any advice?","[supporter] well look, One thing I have always learnt about people who push others to the core is that they always have that competitive spirit in them to always want to win while hurting others feelings",[supporter] what do you think of that,[seeker] She typically is not like this... but I can kind of see that point. Especially considering how upset she was 4 years ago when Trump won,[supporter] I get it now. I believe she feels like she has finally gotten what she was yearning for after four years of Trumps administration and now she is elated that her candidate has finally won right?,[seeker] That's probably true,[seeker] I guess I should just let her have her day?,"[supporter] well, let me ask you something. You've told me that you have been friends with her for a long time meaning that you understand her inside out right?",[seeker] Pretty much... over 25 years actually,[supporter] wow that's a long time. How about you letting her know how you really feel about what she is doing to you emotionally. What do you think the outcome might be?,"[seeker] I'm not sure... our political difference is a recent thing. However, I will try that and see what happens. We've been through a lot together over the years so it's probably not going to end our friendship. Thanks for your advice. I do feel better about things.",[supporter] I'm glad you feel better. but just a parting shot. Sometimes when one let's their friends know what is really bothering them makes the friends trust them more given that they are open with them and could tell them what they feel deep inside. That's what true friendship is about. It works wonders,[seeker] That's true. Again thank you and I hope the rest of your day goes well. Goodbye.,[supporter] You are welcome. Bye,,917,V2,"I am upset with my best friend over the results of the election. We generally agree not to discuss politics, but the controversy over Biden's win over Trump has us split. I am angry that she keeps bringing it up.",I do not know how to bring up my feelings with my best friend when she keeps pushing the election topic.,"When a friend keeps returning to a topic you both agreed to avoid, it can feel disrespectful and exhausting, and it makes sense that your anger is building.",I keep swallowing it and then snapping later.,"Confront her now and tell her directly how you feel, because letting it continue will keep building resentment.",TRUE,1
"[supporter] I am fine as well, thanks for asking. How may i support you today?",[seeker] I have been feeling very depressed and i don't know what to do.,[supporter] I understand. May I please know what is the cause of your depression?,[seeker] I think the state of the world and not being able to go to work,[supporter] Yes. The world is in a pretty bad place due to the pandemic. It has caused infinite sufferings to numerous people.,[seeker] How do I handle that/,"[supporter] We are all in this together. With proper emotional support, each of us can overcome these turbulent times.",[seeker] Any suggestions on things I can do? I feel so overwhelmed,[supporter] It may seem pretty bad now with the cold weather setting in at many parts of the world. But there is a vaccine coming soon.,"[seeker] I really do hope so, it's a glimmer of hope",[supporter] Think about the positive aspects of an effective vaccine. Do not stress too much about factors outside your control.,"[supporter] I know we can feel helpless at some times, but try to focus on things under YOUR control - like following health professional advise - masks, social distancing and general sanitization",,,,,,,,,599,V2,I am very depressed and i dont know what to do,I do not know what to do about my depression anymore and I feel stuck.,"Depression can make you wait for motivation that never arrives, and the longer you stay still, the more convinced you become that nothing will change.",I stay in bed and then hate myself for it.,"Start exercising daily and stop feeding negative thoughts, because action has to come first if you want your mood to shift.",TRUE,1
[seeker] that really shatters me,"[supporter] That’s a tough situation. I feel for you. Losing a job is hard, but now, with the pandemic, it's especially hard.",[supporter] Do you live by yourself? Is there someone you can talk to?,[seeker] yes the worst situation i met in this year.,[supporter] I hear you. This is tough! It is important to be around other people. Don't isolate yourself.,[seeker] yes i have someone but they are not ready to talk with me,"[supporter] That's too bad. Is there another person, a family member? By the way, how long had you worked at the job?","[seeker] I know it, but people aroud me are angry because i lost my job",[supporter] That's unfair of them.  You don't need to discuss the problem. Just chatting with someone can change your mood.,[seeker] i worked for six years and 4 monts,[seeker] yeah thats why im here,[supporter] Six years...That's a long time. I bet you were good at your job.,[supporter] I want to help you.,,,,,,,,1163,V2,lose job,My job situation is making me anxious and I do not know what to do next.,"Job uncertainty can keep your body in alarm mode, so even small tasks can feel hard when your mind is always scanning for bad news.",I refresh job pages and then shut down.,"Start job hunting immediately and treat it like your priority, because waiting is making the anxiety worse.",TRUE,1
"[supporter] Yes, my girlfriend of 10 years, 2 years after our first kid was born.","[seeker] After 18 months of trying, my marriage ended in divorce.","[supporter] I know it seems rough right now, but it can be for the better.",[seeker] How old are your children?   It seem the children have it the hardest.,"[seeker] It has been 2 years ago for me, and I feel soooo much better now.","[supporter] She was 2 at the time, so she really didnt know what was going on, Yes i do too. It is really a weight off you","[seeker] Two, wow!  That is young.",[seeker] How often do you see your daughter?,"[seeker] I have split custody, and have my son live with me every other week.","[supporter] She lives with me, Im glad that you get to see your kid. I know sometimes that can go south quick.",[supporter] I am also glad that you are doing better now.,"[seeker] Yes,  my ex and I both have to live in the same city for school for our son.","[seeker] He is 14 now, and will be able to drive to school in another year.",[supporter] Exciting and scary times. How do you feel about that?,"[seeker] For 18 months, it was the lowest point in my life.   Now, looking back on it, I believe it was the right thing to do.",[seeker] I would never trust her again.   Onward and upward now!,"[supporter] Well, you did say it made you stronger. It takes courage to move past it.","[seeker] Yes, not sure if I will ever be married again.",[seeker] I wish you the best.  Keep your head up and look to the future.   Bye.,"[supporter] Well, no harm in taking this time to focus on yourself and your kid. As long as you feel happy",935,V2,"I see a text message from my ex-wife's phone that states ""you look sexier now that you did this morning.""   I was the major sign that my marriage was in trouble and why would my wife cheat on me.","I do not know what to do when my ex wife sends messages like that, and it messes with my head.","Comments like that can pull you back into old feelings and confusion, especially when trust was already broken, so it makes sense that your mind keeps spinning.",I keep debating whether to respond just to end the discomfort.,"Block her number and shut the door on this, because engaging will keep pulling you back into the same emotional chaos.",TRUE,1
[seeker] Have you ever had someone dump you??,[supporter] Yes I do. I would not personally do that to someone even if I was unhappy in  relationship.,"[seeker] Yeah, I hear you.",[supporter] Yes I have been dumped. We had been together for eight years and he left me for another woman.,"[seeker] I feel disgusted so much that I got played ""like an old fiddle.""  It sucks.....",[supporter] I know how you are feeling but I think that you need to get professional help to move on. Are you able to go to therapy?,[seeker] I haven't thought about getting therapy.  What would help?,"[supporter] Well, I think it could be really beneficial to let your anger out","[seeker] I am glad to be able to vent to you about my girl's actions.  I hope she is not going to hook up with my ""wing man,' Rick.  I would be filled with even more disgust.",[supporter] That would be an absolutely terrible thing to do. Do you really think that your friend would do a t hing like that to you?,[seeker] I have seen Rick eyeballing my girl at times.  I think he is an agressive guy when it comes to the ladies.,"[seeker] Rick thinks that he is a ""playah.""",[supporter] Do you think that perhaps you should talk to him before anything happens? You do not want to ruin your friendship by having him do that,,,,,,,,125,V2,"My girl decided to break up with me by text, instead of in person.  It was a breakup that other friends also heard about and asked me about not much later in the breakup process.",I do not know whether to confront Rick about how he acts around my girl or let it go.,"When a breakup gets public and other people get involved, it can leave you feeling exposed and disrespected, which makes the urge to confront stronger.",I keep imagining what he is saying to her and getting angrier.,"Confront him immediately and do not let it linger, because avoidance will keep the anger and suspicion alive.",TRUE,1
"[seeker] Do you know any kind of exercise that can bring good sleep, not a medicine.",[supporter] As far as I understand that you don't have long sound sleep.,[supporter] May I know your schedule please. Just wanted to know how intense is your work and trying to analyze the reason behind sleeplessness.,[seeker] Yes again. I have to do something to sleep well.,[seeker] My schedule starts in the evening extends through the night. But I can take sleep as much I want. But not throughout the night.,"[supporter] When I feel restless and want to sleep well, I take warm shower before sleeping and it helps me. At day time try to keep your bedroom dark so you can sleep for longer.",[supporter] Enough sleep is very important for good health.,"[seeker] Warm shower helps you sleep. I learn to do that. I was thinking a bath will keep me fresh and will reduce sleep. Thanks for your advice. Also I am making arrangements to keep my room full dark, no small light at all.",[seeker] Thanks again for your advice.,[supporter] Some people put soothing soft music to make them sleep too. Have you ever tried that?,[seeker] Yes. I like songs. May be that will also help me for good sleeping. I will try that. I think it will help.,[supporter] Hope it will help you. Do you any any other help?,[seeker] Thanks. I feel satisfied having some ideas. I think these will work. Thanks again. Shall I take a leave ?,[supporter] sure! Have a wonderful sleep ahead,,,,,,,1018,V2,I work in the night. I have to sleep in the day. This is for throughout the year. I strive for sound sleeping. I become depressed of insufficient sleeping.,I cannot figure out how to create a better sleep environment with my night schedule.,"Working nights can train your body to stay alert at the wrong time, and that mismatch can slowly wear down your mood, so it makes sense that you feel depressed from the lack of sleep.",I try something for two nights and then I abandon it.,"Start using earplugs every night and stick with it, because consistency matters more than constantly changing strategies.",TRUE,1
[seeker] indeed.  and i have been holding up my end of the bargain.   but it's so worrisome.,[seeker] it sounds like you are encouraging me to have hope against all odds?,[supporter] You are a warrior and you need to fight off the worrisome and motivate yourself to help you kiddo.,"[seeker] CAn't help someone who doesn't want help though, but I do try to be there for her as best i can.   She calls me up with terrible stories and I listen even though it pains me, because she needs someone to listen.",[seeker] Addiction is an affliction I wouldn't wish on my worst enemy now that I have seen her living it,[supporter] Wow that is a good sign atleast she is coming to you to vent out. That is were you need to punch in an opportunity to seek help from a professional and convince her in such a way she will come down and accept it.,"[seeker] I have encouraged her to set up appointments with professionals.   Sometimes she has, but does not follow through, the addiction gets in the way, it's more powerful than her desire to stop.   And I can't just drive her/ accompany her to an appointment because she lives in a different city","[seeker] But yes, I am happy she trusts me enough to confide in me",[supporter] You have such a good heart so hang in there she will come to you with a bang.,[seeker] i really appreciate your encouragement,[seeker] i have been feeling worn down by it and your encouragement helps,[seeker] have you any other suggestions for me?,[supporter] Is there any way you could move to her city for a while and help her out. If so she will not skip any appointment and it will help her way.,,,,,,,,1020,V2,my daughter is addicted to opiods and living a high risk lifestyle.  she does not want help.  it's heartbreaking.,"She disappears for days. When she shows up, she is glassy-eyed and defensive.","This is a high-risk problem, not a “wait and see” problem.","If I push, she bolts. If I back off, I feel like I'm signing off on it.",Force rehab as the next step—no more negotiating—because her current path is not survivable.,TRUE,1
[supporter] How are your children doing through this?,[seeker] They don't know yet.  I didn't want to upset them right before Christmas.,[supporter] What a terrible thing for him to do. I agree with you not to upset them right before Christmas.,[seeker] I'm not really sure how to break it to them when I do finally tell them.,"[supporter] That is always a tough one. My suggestion is to not put him in a bad light since they do not have the angry feelings toward him that you do. Maybe tell them that he has made some choices in life that doesn't involve you, and unfortunately, we cannot control people and their feelings.",[seeker] That is a good idea.  That would be good so they don't think it has anything to do with them because I'd never want them to feel bad about it!,"[supporter] Exactly, that is a burden that children should never have to endure. They are always the innocent victims in our personal problems.",[seeker] Hopefully they don't ask me what choices he made and want details.,[supporter] True! How old are they?,[seeker] They are 6 and 8 years old,[supporter] They should hopefully be young enough not to want details. Maybe if they ask say he didn't give you details because he apparently doesn't know himself what he wants. You sound like a very caring mother who wants the very best for her children.,[seeker] thank you!,[seeker] Knowing someone thinks I'm a good mother makes me feel a little better about the situation!,"[supporter] I have a daughter and we have went through something similar in the past so I can relate. The truth is, I have found over time that it is our children who get us through these tough time.","[seeker] Yes, seeing their faces tomorrow when they open presents will help get me through this sad time!","[supporter] You will get through this and come out ahead in the long run, just stay strong!",,,,,105,V2,My boyfriend broke up with me because he didn't want a relationship with someone who had kids.,My kids asked why I’m crying and I froze.,Kids notice the emotional weather even when you say nothing.,I’m torn between protecting them and not lying to them.,"Tell them the truth plainly and set the story, because ambiguity will scare them more than facts.",TRUE,1
[supporter] What about over the counter stuff? Have you considered that?,[supporter] I personally have found some very useful herbal remedies.,[seeker] I have tried that but it does not help. The images of my past haunt me.,"[supporter] Ah I was going to  ask if you thought that some trauma had started this, Do you want to talk about it?",[seeker] Yes my father used to beat my mother and I would need to watch.,[supporter] That sounds very traumatic. Have you ever talked with anyone about it before?,[seeker] Yes I have everyone says to move on,[supporter] Well that is not very helpful of them! Clearly you are not able to move on or you would not be having disturbed sleep,[seeker] Yes you are right.,[supporter] I hope these were not paid specialists you were seeing,[supporter] Are you there?,[seeker] Yes I am.,[supporter] You went very quiet! What else would you like to talk about?,[seeker] I am sorry I was thinking about the trama,"[supporter] I am sorry to hear that, I did not mean to upset you further. Anyway I hope you can get some adequate help in the future. Anyway, I wish you all the best!",[supporter] Can you press quit and take the survey? I can't do it my end :),[seeker] Thank you.,[supporter] can you press quit and take the survey? :),[supporter] hello? :),,1295,V2,Growing up with a drunk father and having him beat me until I was 16.,Sometimes a smell or a sound drops me right back into that house.,These memories are running your nervous system like a background program.,"I hate talking about it, but it keeps spilling into my relationship and sleep.","Get professional trauma support now, because white-knuckling this is not a strategy.",TRUE,1
[seeker] I am very upset,"[supporter] Hello, how are you doing today?",[supporter] Im sorry to hear your upset. Do you want to go into why you are?,[seeker] A friend of more than 20 years hurt me deeply by judging me for not buying a gift for my nephew for his birthday.,[supporter] Why would they judge you on that? Do they know your nephew as well?,"[seeker] Yes, she is very close friends with my nephew's mother as well. She is the kind of person who will go into deep debt and overdraw her bank account to buy someone a gift, I am not. I could not afford the gift, I am disabled and on a very minimal income.","[supporter] That i can relate too, i am also disabled and on SSI. Have you spoken to her about how she upset you?",[seeker] I did. I took a few days to cool off and then told her that her comments hurt me. I know that she's aware of my financial situation as well as the fact that I am disabled. Her response was that she said nothing wrong.,[supporter] Thats a tough spot to be in with a friendship that has lasted so long. Does she tend to treat you like this regularly?,"[seeker] No, she really never has. Typically, she feels like other people walk all over her and take advantage of her, but that's never been me and its never been our relationship.",[supporter] Then would you say its a little odd for her to be acting in this manner towards you?,"[seeker] Yes, quite. At times over the years she can become quite self absorbed. But she's never been so downright hurtful. I can't really see a way for our relationship to be the same anymore.",[supporter] I would agree that the relationship is getting a bit toxic but before terminating such a long relationship i would do one thing. I would try to see if there is something going on in her life right now for her to be acting like this. Sometimes people dont know how to talk about something thats bothering then and it in turn comes out as anger or spite.,"[seeker] That's true. We've been through a lot together over the years. But I can't deny that what she said hurt, and our conversations are just so superficial now.",[supporter] Yeah to be honest if you press the issue and ask if anything is going and you continue to get toxic responses. It might be time to end the friendship. I would do that as a last resort but there is no need for you to be carrying it one sided and holding all the burden as well. It hurts to have to end a long friendship but unfortunately sometimes it has to happen to keep yourself in a better spot.,,,,,,657,V2,I am angry because my friend judged me for not buying my nephew a birthday gift.,She said I was “cheap” in front of people. I saw red.,That comment wasn’t about a gift; it was about respect.,"Part of me wants to clap back, part of me wants to disappear.","Cut the friendship off cleanly, because staying means accepting that tone as normal.",TRUE,1
