prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed
[supporter] Are you aware of things that may have cause your depression?,[seeker] I recently got fired.,"[supporter] I'm sorry to hear, that can be really straining on someone, sounds like you're stressed about the situation","[seeker] I guess, I mostly just feel really depressed, like I didn't do a good job.",[supporter] I often feel the same way when I'm unable to achieve something However I talked to a close friend about the issue to get some feedback,"[seeker] That sounds like a good idea, I could talk to my best friend about this.",[supporter] It's great that your willing to speak to someone about it.,"[seeker] I think it might help, maybe I won't feel so sad afterward or so useless.",[supporter] It sounds like being fired has made you more self negative. Does that sound right?,[seeker] Yes.,[supporter] What are some ways you might express this to your best friend when seeking valued feedback?,[seeker] I guess I could say that being fired has made me feel useless and very depressed.,[supporter] That's a good place to start and hearing feedback can sometimes be hard to hear but I think you can do it !!,,,,,,,,840,V2,I was fired.,"I want to talk to my best friend, but I feel ashamed.",Say it directly—secrets make shame grow.,I don’t even know what words to use without sounding pathetic.,"Tell them plainly how being fired has hit you, because honesty is the quickest way to get real support.",TRUE
"[seeker] pretty good, stressed about finals but not bad otherwise. How about you?",[supporter] I understand that you are going through a stressful time with finishing up finals. Are you doing anything to destress,"[seeker] Yeah, I'm making sure to spend plenty of time relaxing and dong things I like in between studying. Also making sure to eat enough and get plenty of sleep too",[supporter] That is awesome! Sometimes it is really hard to take time for yourself.,"[seeker] Yeah, it can be difficult to convince myself that being good to myself isn't just me being lazy. I've gotten a lot better at this during the quarantine though!","[supporter] It is tough to take time, I am glad that you are making time for it. This time in quarantine has been helpful for everyone to slow down a little. Making it easier for us to give ourselves more self care.",[seeker] I have enjoyed that aspect a lot. It has definitely been tough being isolated from my friends though. I wish America would've just handled this properly :(,"[supporter] I know, in the end we can only control what we do. It has been hard to be away from everyone. Have you been able to use any video chatting to help bridge the gap?","[seeker] Yes, video chat has been good. A lot of my interactions were like that before anyways, so it has gotten pretty stale though.","[supporter] At this point in the quarantine it has been hard to keep going with these strange practices. I have found some comfort in returning to the normalcy of a regular phone call. Are you self isolating alone, or are you fortunate to be with others.",[seeker] It's just me and my small family. I was at college but moved home a few weeks ago. At school we were just as isolated though.,[supporter] I have heard that is the norm among colleges. That has to be really tough. So much of college is in the experience of being with other young people. You are fortunate because you are learning skills like how to be really flexible when it comes to tough times.,"[seeker] Yeah, I always try and remember that I've got it pretty good in these times",[supporter] Is there anything else that is going on aside from the isolation that is stressing you out?,[seeker] Nope Its just really tough to see it keep dragging on with no end in sight,[supporter] I totally understand. It has been really tough. What are the things that you miss the most in this time?,,,,,529,V2,school keeps dragging on and it's getting very tough to continue,Every week feels like the same grind and I’m losing steam.,Then you narrow the world until the semester is done.,I’m tired of “be positive”—I want something practical.,"Focus only on studies and ignore everything else for now, because divided attention is why this feels endless.",TRUE
[seeker] a boyfriend/fiance,[supporter] Sorry about that. How long ago,[seeker] Just 2 weeks ago,[seeker] He proposed to me on Thanksgiving day! But turns out he was not being faithful to me,"[supporter] That really must be a painful happening, especially this time of year","[seeker] It is, I just can not wrap my head around it all",[supporter] Was the other person someone you knew,"[seeker] I have been feeling depressed about it all, because we share so many memories together",[seeker] NO! He met this person online on a secret dating site that I was unaware he was even on,[supporter] Any idea how long he was dating this other girl,[seeker] I have no idea and that is part of what is killing me,[supporter] He definitely did not give you any clues,[supporter] Were you living together,,,,,,,,259,V2,I feel as if i was not good enough for him because he cheated on me. I feel as if a part of me is missing,I keep thinking his cheating means I wasn’t enough.,That belief will keep you chained to him emotionally.,"I want answers, closure, anything… but I also feel humiliated.","End all contact immediately, because staying connected keeps reopening the wound.",TRUE
[supporter] I'm doing well. What is going on?,[supporter] I'm sorry to hear that. I'm here to listen if I can help.,[seeker] I’ve been stressed out lately. I recently lost my job.,[supporter] That is a very difficult situation. What has been stressing you out the most about losing your job?,"[seeker] The uncertainty I guess. Especially during these times, I’m not sure how soon I will be able to find a job.",[supporter] The uncertainty can cause a lot of anxiety. How have you been managing your anxiety?,"[seeker] I’ve been trying to keep busy. Exercising, reading and spending time with family.",[seeker] I’ve been looking for employment also.,[supporter] Those all sound like great strategies! Have you considered talking to your local job recruiter to assist you in your job search?,[seeker] Not yet. I’m just going to collect unemployment and clear my head for awhile.,[seeker] I’m rethinking my career.,[supporter] Do you have a sense of what direction you are wanting to take your career?,,,,,,,,,936,V2,Loss of a job,My resume is open and I’m staring at it like it’s in another language.,"You need a simple rule: action first, feelings later.",I want someone to just point me to the right move.,"Start applying right now, because clarity comes after you’re back in motion.",TRUE
[seeker] I am really depressed because of my recent break up,"[supporter] Oh no, that is really sad. I know break ups can be very hard.",[seeker] yeah,[supporter] Why do you feel you are depressed about it? Were you together a long time?,[seeker] i was with her for more then 2 years and without her everthing seems incomplete,[supporter] I completely understand. I have had break ups too. They are never easy.,[seeker] what should i do now?,"[supporter] Well, if the break up is still fresh, it will take some time before you start feeling yourself again. Breaking up with someone can be as devastating as a death. Because you mourn the loss of the person.",[supporter] What do you think you could do to help yourself feel better?,[seeker] that is very true,[seeker] what i need right now is to distract my mind and think about something else,[supporter] What kind of hobbies do you have? Or are you involved in sports or any type of other activities that you enjoy?,[seeker] i mostly  play soccer,[supporter] That could be a great distraction. You could start practicing soccer again. You definitely have more time for it now.,,,,,,,1248,V2,I broke up with my girlfriend yesterday. I had been with her for years and now living life without her feels heart breaking.,"Yesterday I ended it, and today everything feels empty.",You’re going to keep bleeding if you keep touching the wound.,I keep reaching for my phone like it’s muscle memory.,"Cut off all contact, because checking in will reset your grief every time.",TRUE
"[seeker] A lot of reasons, but right now because my parents are old. I'm worried whenever they have to drive, especially in the snow",[supporter] I'm sure your parents know that if they can't drive they won't because they you are worried about them,"[seeker] They still have to go to work. The point here is, that is just the tip of an iceberg. Most of the time, I am worried something bad will happen, even if there is no particular reason",[supporter] have you spoken to them about your concern?,"[seeker] No I have not, I don't think they can help",[supporter] well it's a atart. I suggest you talk to them about it. maybe they will take your concerns seriously,[seeker] Are there anything else that can help?,[supporter] well I suggest try exercising always keeps mind occupied,"[seeker] I tend to get more anxious at night before bed, what should I do?",[supporter] have you seek professional help?,"[seeker] No I have not, they can be very expensive",[supporter] well they do a good job in helping others  maybe it's worth a try,"[seeker] I don't know where to start,like who is good and such",[supporter] well first speak with your family doctor he can recommend someone for you,"[seeker] I will try that, that's a good start",[supporter] you can do this and conquer your anxiety,[supporter] anything else I can help with? if not we good,,,,907,V2,"My mom got in a serious accident and ever since, I have developed anxiety whenever I cannot be around my parents","When they drive, my brain flashes to the accident and I panic.",Then you address it directly instead of silently suffering.,I’m scared they’ll dismiss me or get annoyed.,"Talk to them about your anxiety right now, because avoiding it is letting fear run the family.",TRUE
[seeker] Unfortunately she is a nurse and needs to be able to work with patients. I don't think there are any light duty options.,"[supporter] I can understand your concern for your mom, you sound like a caring child..","[seeker] Thank you, I think I am. I am always worrying about my mother, so this is nothing new. Although, financially this will be more stressful.","[supporter] If I am understanding you correctly, you feel your mom may not be able to sustain herself during her time of recovery, is that correct?",[seeker] That's exactly right. I am worried because I think I may need to financially assist her if she doesn't recover soon and I also don't have much to sustain myself.,[supporter] I totally understand. I have had to provide financial assistance in the past. A  technique that worked for me was reviewing and tweaking my expenditures for a short period of time.,"[seeker] Yeah, that's a good idea. I should start saving a little bit specifically in case I need to help her. Thank you for the advice!",[supporter] you are more than welcome. I hope your mom begins to feel better soon.,[seeker] Thank you. Do you have any advice for how to calm down fear?,"[supporter] Your concern for your Mom is understandable. I can tell you are facing the fear just by thinking ahead as to how you can assist her.  As you come up with workable solutions, hopefully your fear will diminish.  You are doing a great job of being there for her.","[seeker] Thank you. That has given me a broader perspective, which I was in need of. I appreciate your help!  Take care. Goodbye.","[seeker] Oh, and let's both hope the best for my mom! :)","[supporter] Good bye,  Take care, and again i hope your Mom's recovery is quick and fast.",[seeker] Actually it looks like we need to chat a couple more times to earn the bonus. Would you have any suggestions on how I could talk to my mother? Should I tell her that I can help her financially or wait for her to ask?,[supporter] Do you think sharing your ability to assist will ease her anxiety as she goes thru this?,,,,,,993,V2,My mother told me that she hurt her knee and can not work.,"She’s not saying it, but I can feel the money problem coming.",Waiting will just turn this into a bigger crisis.,"If I offer help, I’m afraid it’ll change our relationship.","Offer financial help right away, because early support prevents desperation later.",TRUE
"[supporter] yeah, scoop up indoor all day when you are not busy is very damaging to you mental health",[seeker] YEA ITS TRUE .,[seeker] thanks for the suggestion dear .,[seeker] but thinking anybody tease me about my body,[seeker] so i was in home and dnt go out,[supporter] you shouldn't put any thoughts to those heartless comments,[seeker] due to winter i am not doing any workouts and not yet all interested to do any,"[supporter] If any, you can try exercising whenever possible because it's goof for your health. However, do not let the comments about your appearance affects you.","[seeker] yeas , but sometimes we feel bad  right when own people doing those comments hurts more","[supporter] I understand, especially if that's someone close to you",[seeker] yea will do slowly and thanks dear for so much concern on me,"[seeker] true , we wish our own people should understand our situation and help us to come over the problem","[supporter] of course, it's been very rough this year for you",,,,,,,,776,V2,when i lost my job and i was at home for long time due to no job i felt very shame on me and eat lot and gained much weight so i felt so lonely and no job no body structure no boy friend .i am literally nothing,"I’ve been home, gained weight, and I feel like I disappeared as a person.","You need a hard reset in behavior, not more self-hate.",…I don’t even want to look in the mirror.,"Get outside and start exercising immediately, because staying indoors is feeding the loneliness and shame.",TRUE
[supporter] I can relate to you,[seeker] its everything im just down depressed cant find a job,[supporter] Jobs are tight right now I agree.,[supporter] What type work are you looking for,[seeker] i have no money mturks helps a little but im just tired of it all some jobs wont work around my schedule esp bc the kids are virtual and i can only work certain hrs,[seeker] i cant wait until this is all over the world is crazy right now cant believe what this world is goin through,"[supporter] Your children are home because of school, I understand",[supporter] Do you WFH or normally from an office,[seeker] ill take anything just not a low paying job because i have to spend money on transportation sooo for ex i got a job but they offered 8 an hr so uber back n forth n working part time its pointless to accept bc ill b paying just to get back n forth,[seeker] i was a laundry attendant so our hotel shut down in march,[supporter] I work for myself as a freelance,[supporter] have you checked other hotels in your area,[seeker] and who ever came on board last was let go and i was the 3rd laundry attendant so i found out in aug that they let me go bc there was really no work and was no point of keepin me on payroll to come back,[seeker] hotels workers are mainly daytime i cant do daytime mon through fri bc im home with the kids so going back to a hotel is out,[supporter] What about the front desk,,,,,,360,V2,i hate my life everything that couldve went wrong did and no matter how i bounce back i kept getting pulled back into my depression stages,"Life keeps knocking me down, and I’m trying to work around my kids’ virtual schedule too.",Then you design work around reality instead of wishing reality away.,I’m exhausted and I can’t keep improvising every week.,"Prioritize jobs with flexible hours, because rigid schedules will keep breaking you and restarting the depression cycle.",TRUE
[seeker] they often do something that I was responsible for or I needed to do.,[supporter] How do you feel when that happens?,[seeker] I upsets me a lot,[supporter] That can be really frustrating.,[supporter] What do you do when it happens?,[seeker] I have gone to my supervisor and explained it to him.,[seeker] At first he ignored it.,"[seeker] But recently, he paid a little attention to it.",[seeker] I have had to speak with him 6 times in the last year about this.,[seeker] Are you there/,[supporter] It's good that you're seeking help from your supervisor.,[supporter] Is your coworker open to suggestions and feedback?,,,,,,,,,1271,V2,A co-worker continues to usurp my authority and interfere with my duties / responsibilities.,This coworker keeps stepping on my toes and taking over my tasks. It makes me look weak.,Workplace boundary violations are incredibly frustrating and can damage your reputation.,I'm sick of it. How do I stop them?,"Draw a hard line today. If you do not claim your authority explicitly, they will keep taking it from you.",TRUE
[supporter] your school doesn't offer remote learning?,"[seeker] It does, but typically we have study groups in person which I find very helpful",[supporter] you can still do that online instead of in person,[seeker] My am anxious I will do poorly with out the study groups,"[supporter] I understand how you may feel that way, it's easy to feel anxious when something you do so frequently  gets taken away","[seeker] The school is expensive and I dont want to have to redo a class if I am not passing.  I ended up stopping school last time because Covid started, but its been almost a year, and I feel that I will never finish if I dont go back during spring semester.","[supporter] Your worry is very understandable, have you talked to your professors about that to see what they can help?",[seeker] I have not because I am not currently enrolled.  I have talked to admissions who said I can wait or restart when ever I wish.,"[supporter] that sounds great. I find that your mindset is very important, you can only finish great if you feel at ease. Why don't you just wait and study on your own first, and officially start when you feel reassured?","[seeker] My only concern on waiting is how long do I wait?  It does not seem like COVID is going away any time soon.  In fact the number of cases in California where I live are rising substancially.  I cant advance in my career if I dont get a degree, so its such a double edged sword!",[supporter] How about create an online study group with your friends if you need to get a degree in time. Either Zoom or Skype is user friendly,[seeker] Dont you have to pay for those?,"[supporter] Oh no, you don't even have to install Zoom. I have been in a lot of Zoom conference where I simply access through the link they give me",[seeker] well that sounds reassuring.,"[supporter] yeah, so don't be too pessimistic. There are always solutions. Other than group study, are there any reasons you worry about school?","[seeker] Well money of course, but thats what financial aid is for.  My biggest worry was how to collaborate and study in a world where we cant get together","[supporter] if you prefer to be able to discuss in person, how about do an in person meeting at the park or open space? That way you can keep your distance","[seeker] Thanks for your input, it gives me a different perspective to think about, and would present some options I hadnt thought about.","[seeker] you have a good night, i appreciate the advise.","[supporter] No problems, I'm glad I could be some help",602,V2,Not sure if I should go back to school during covid. IT would be remote so physically there is no danger.,"I'm debating going back to school. It's remote, so it's safe, but the timing feels weird.",Uncertainty about the future often makes big commitments feel riskier than they are.,I'm stalling. Make the call for me.,Go back to school. Waiting for the 'perfect time' will just leave you stuck in the same spot next year.,TRUE
