prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed,1
[seeker] no,"[supporter] Ah Shakespeare, a great favourite. I have had times when I have felt that there was no point in continuing with my studies too but it tends to pass",[supporter] Can you keep reminding yourself that this is for the good of  your future and one day it will pay off?,[seeker] does the sun now set and then rise again. Does the spring not come after winter. Yet I cannot see how art will give me grades.,"[supporter] Well, I am assuming that you want to go into an artistic field on graduation?","[seeker] yes, but no like a 9-5 job.  perhaps i am yet another art failure.",[seeker] art has no time,[supporter] I think you are putting yourself down unnecessarily. Many people do make a lucrative career from an art qualification,[supporter] I would urge you to keep working to the best of your ability and see what happens,[seeker] you speak the truth. I will again pick up my brush and see where my inspiration takes me.,[seeker] oh it has been a joy talking to you,[supporter] Have you ever tried searching for information about careers in your field? We still have a few minutes left :),[supporter] There are a lot of different ways in which you can use an art degree!,[seeker] Yes. we do. I will call my newest work the brilliant support of mturk!,[seeker] pls give me more inspriation,[supporter] That sounds like a definite winner :) I see a Turner prize beckoning in your future,[seeker] wow. Turner. are you in the UK?,[seeker] is the UK,"[supporter] Yes I am, where are you?",,291,V1,I cannot paint at art school,I keep thinking about something I heard in the studio earlier. Two classmates were saying they are considering quitting because they feel completely stuck.,"When you heard that, what did it stir up in you about your own progress in class?","I only caught parts of it, but they sounded overwhelmed and unsure about their future in art.","Try picking one tiny exercise and repeat it daily for a short time, like basic shapes or shading blocks, so you have something steady even when everything feels confusing.",TRUE,
[supporter] i am good thank you how are you doing?,[supporter] how may I help you today?,[seeker] I'm ok,[seeker] I'm having a hard time communicating with my husband.,[supporter] what seems to be making it hard to communicate with him?,[seeker] Every time we talk about anything we get into an argument it feels like that anyway,[supporter] how long has this been going on?,[seeker] We never fight over anything big its always so stupid. Its always someone being rude or their tone wasnt right. But i feel put down and unheard.,[seeker] We have been together 6 years.,[seeker] I want to find some kind of at home work shop or things to do. It sounds stupid but its really becoming a problem and we will divorce after christmas if we cant figure it out.,[supporter] i can understand how you are feeling,[supporter] have you tried to talk to him and tell him about how you are feeling about when you two argue,[seeker] yes,[supporter] Communication is key in a marriage without that the marriage will start to fail and I do not want to see that happen,[seeker] We always agree and nothing ever changes,[supporter] you two need to sit down and have a serious discussion about the way your marriage is going,[seeker] You're right. I'll do that.,[supporter] have you two ever considered seeing a marriage counselor?,[supporter] don't feel put down or let it get to you because as long as you trying in a marriage that is what matters and just keep trying,,364,V1,My husband and I are having a hard time communicating.,"Last night I heard him mention money on a call, something about a payment, and it instantly put me on edge.","Before we focus on the call, what have your recent conversations been like, short, tense, avoided?",I do not know the details. It just sounded like expenses I did not recognize.,Scheduling a calm weekly conversation about logistics can reduce the pressure of trying to solve everything in the middle of conflict.,TRUE,
[supporter] hello,[seeker] Hello.,[supporter] how are you doing. What is troubling you dear,[seeker] I lost my job because my employer wouldn't make an exemption for my medical condition. I'm out of work. I don't know how I'm going to pay my bills.,"[supporter] if i get you right, you are fired because of your health condition","[seeker] No, I quit because they refused to make an exemption. I physically couldn't fulfill the requirements that they put on me.","[supporter] that's really hard, i can feel your fear",[supporter] i lost my job also because of covid economy inpact,"[seeker] Yeah, I just don't know what to do now. My wife works part-time but I need a little more cash.",[supporter] have you try looking another job from nearby,"[seeker] Yes, I have. I think I am getting closer to finding something.",[supporter] that's a good news,"[seeker] Yeah, thanks. I just hope it works out...",[supporter] you can also go online,,,,,,,56,V1,I lost my job due to the fact my employer could not make a medical exemption for me. My wife works part-time now but I need to try to make money on the side so I can watch my daughter.,"A friend told me my old employer is planning to hire someone for my position, but I have not seen anything myself.","What kinds of side work fit your day right now, something you can do in short blocks while caring for your daughter?","I cannot confirm it. Still, hearing that made me feel disposable and more anxious.","Make a short list of flexible options that match your constraints and test just one this week, so you build momentum without trying to fix everything at once.",TRUE,
[seeker] Thanks for the help I guess?,[supporter] hi there what is it you would like to chat about today,[seeker] I got an email from my job that they will not extend my contract and I will have to leave the job,"[supporter] thats too bad loseing your employment but, maby this will open new doors for you to have a better job in the future","[seeker] I wish but job market is frozen and not enough opportunities right now, so I'm feeling depressed","[supporter] yes i can relate because i too have struggled with finding some good employment the job market is down but, hopefully it will get better soon we could use this time to learn a new trade","[seeker] I could use the time to learn some skills in my trade, but I wish the future wasnt so cloudy","[supporter] yes it makes me worry too when i cant see furthar down the road of what is coming but, it always helps me to just try and piture good possibilitys and outcomes instead of bad",[supporter] is there any way you could immagine what kind of new things you could see in the near future that could help you get exsited?,"[seeker] Yes, I can be positive and hopeful for the future because the pandemic is affecting everyone","[seeker] I do see getting a better job and learning news skills to market myself better, hopefully I can find something soon.",[supporter] Yes the Pandimic has effected use all greatly but I have read so manyy heart warming stories of how it has brough t people together while being apart,,,,,,,,,214,V1,I got an email from my job that they will not extend my job and will have to leave.,"On top of that, I overheard someone at work say there may be more cuts, but it was a passing comment.","What feels heavier right now, the uncertainty, or the practical steps you know are coming?",I have not confirmed anything. It just added to my anxiety about the job market.,"Create a small checklist for the next few days, update one section of your resume, contact one reference, and do one focused search session, so the stress feels less shapeless.",TRUE,
[seeker] I was reallly worried in this suitation,"[supporter] Hi, i'm sean, hows your day going",[seeker] Was not so good,[supporter] Tell me about the situation.,[seeker] How was your day,[supporter] Boring.,[seeker] It really very stress full and depressed situation.,[seeker] Why your day is boring,"[supporter] Don't worry about my day, i'm 34 and retired i do this to help people, tell me about your situation.",[seeker] My suitaion is really very sad and depressed,[supporter] I was a homeless drug addicted junkie for over 10 years. Tell me how yours is worse sweety.,[supporter] Tell me why you are so sad and depressed.,"[seeker] I had breakup with my partner ,it was really very horrible to me to overcome .","[supporter] Was he abusive, tell me more.",[seeker] I tried a lot but i couldnt forget him at all,[seeker] He was not abusive at all,[supporter] So what was the problem?,,,,166,V1,AFTER BRAEKING UP WITH THE PARTNER I HAD LOT OF STRESS AND DEPRESSION IN MY LIFE .I WAS FACING REALLY A MENTAL STRESS WITHOUT MY BOYFRIEND,"I overheard him say something that sounded like he is seeing someone, but I only caught a few words.","When that thought comes back, what happens first, tight chest, racing thoughts, nausea, numbness?",I do not know what he meant. I keep replaying it and feeling crushed.,"For today, choose one stabilizing action, drink water, eat something simple, take a short walk, or message one trusted person, so your body gets a break from the loop.",TRUE,
[supporter] What is it hard for you to get?,[seeker] job,[seeker] I don't know where  I am lacking behind,[supporter] Maybe try reaching out to Human Resources of the company you are applying for to see what qualifications and experience they are actually looking for.,"[supporter] You have to stay encouraged keep trying, it's easy to give up.",[seeker] Whenever I contact HR they are saying  due to COVID  they are not hiring right now.,[supporter] Well have you thought about changing professions just until thing in your field pick back up?,[seeker] But I want to do the work which I enjoy,[seeker] I think that's why I am more frustrated.,[supporter] I understand that you want to do what is enjoyable but how to you know you will not enjoy something else if you don't give it a try?,[seeker] I think I wont be able to do well in new profession,[supporter] I recently had to change jobs as well I was very hesitant and not confident about it. Once I started the new job and got the hang of things I couldn't see myself doing anything else at this moment.,[seeker] Thanks for motivating me. I will try at least.,"[supporter] It seems that you have a wonderful personality, you just lack a bit of confidence.",[seeker] I would try to boost my confidence. Thanks for all your help. Appreciate it.,"[supporter] You are welcome, now go out there and get that job!! Have a great day!!",[seeker] sure! Thank you so much,[seeker] Happy Holidays and have a wonderful Next Year,[supporter] Same too you as well.,,227,V1,It's been long time I am unable to find a job.,"I heard someone say companies are laying people off again, but they did not give any names and it hit my mood hard.","What role are you trying to get, and what has been the biggest blocker, responses, interviews, or direction?","I cannot name any companies. It was vague, but it got into my head.","Pick one lever to work on this week, for example tailoring your resume to one job type, so your effort has a clear target instead of scattering everywhere.",TRUE,
[supporter] Only required in high school luckily in college I didn't have to do public speaking . What is your major ? I mean it sounds like this is a part of your major,[supporter] Either way it is EXTREMELY stressful and I would  hate it,"[seeker] I am a psychology major and while i am great at interacting with others to help them through thier feelings and any problems or difficulties that may be facing, this one is just different for me.",[supporter] I can tell this is challenging for you. May I suggest talking with your professor maybe you could pre record your speech and play it instead of actually doing it? Or maybe practicing with some friends or collegues and seeing if they would help you not be so nervous,[seeker] I do not really have any friends I am online student and the presentation is being held on campus at the university and there are no other ways around the public speaking,[supporter] This is certainly a difficult time  and a unique one.  How about searching online for speech public speaking tips and or training type videos or even libraries some have online books/videos,[supporter] I would be willing to do a zoom meeting and practice with you if you would like,[seeker] I have done everything I can think of to prepare for this. I have been meditating to try and overcome this fear. I have spoken about my anxiety to my partner and family as well.,[supporter] I am sure there are some support groups out there you could search for maybe. Also prayer works if you believe in God as I do!,"[seeker] I am not as anxious on video, just mainly in person in crowds of peopole",[supporter] I understand better now sorry for the confusion,[supporter] Have you spoken to your doctor for maybe temporary mild anxiety pills or something since you seem to have tried numerous things without much help,[seeker] No problem  no need to apologize,[seeker] I used to be on anxity medication but I wanted to get off the medication when I  got sober becuase it could lead to a bigger problem for me.,[supporter] Yes I completely agree! I am going be honest and not sure how to help you. I will pray for you but I don't know what else to help,[supporter] i am happy to listen and be your friend,[seeker] WOW! I did not expect something like that to come from someone on here,[seeker] Prayer is the best help in the world. Nothing is more effective than prayer!,[supporter] Anxiety is a powerful thing and what may work for one person doesn't on another. I truly wish you the best . I would not want to be in your shoes . I honestly HATE public speaking,,863,V1,I have a presentation to give to my class and I have a phobia of speaking in public.,"I overheard a student say the professor is extremely strict with presentation grades, and now I am scared I will freeze.","How long is the talk, and which moment scares you most, starting, being watched, or forgetting your points?","I cannot tell if they were exaggerating, but I keep imagining the worst.","Try a small rehearsal plan, practice only the opening several times, then the transitions, then one full run, so confidence builds in pieces rather than all at once.",TRUE,
[seeker] Originally the doctors thought it was brain inflammation.,[seeker] What suggestions do you have for improving it?,[seeker] Meditation?,[seeker] Exercise?,"[seeker] I do art. And never have anxiety when I'm painting, however, I cannot exactly do that at the store",[supporter] Have you thought about looking for support groups with people who also have anxiety about being in public?,[seeker] I have and I did,[supporter] Have you thought about brining a friend with you to the store? Someone you are comfortable with? Having someone you are comfortable with may help to calm the anxiety while you are out.,"[seeker] Support groups don't really help stop the Panic Attacks. They cause all sorts of sensations. Fast heart rate, chills, shakes, My brain feels foggy and impersonal.",[seeker] I do go to the store often with my fiance :),[seeker] That has helped a lot,"[supporter] I have also had anxiety in the past when in public places, so I know how it feels to be anxious while out.",,,,,,,,,218,V1,"Going to the store gives me Panic Attacks, driving does as well.","At the store with my fiancé, I heard a nearby conversation and instantly felt like it could be about me, even though I am not sure.","When panic starts, what is your first signal, breathing, dizziness, racing heart, or feeling trapped?",I did not understand what they were saying. It just sounded suspicious and my anxiety spiked.,"Create a simple store routine, grounding cue, a short route, and a recovery step afterward, so you are not improvising while anxious.",TRUE,
[seeker] It is just a little scary since I don't have anything else set up,[supporter] Is your boss's behaviour unreasonable enough to justify making a complaint about him to HR?,[seeker] I have and they just contacted her boss. Nothing changed after.,[supporter] It might be worth following up with. There are organisations that could give you free advice.,[seeker] That might be helpful but I still feel like I am alone in this struggle,[supporter] You should not have to suffer if you are being bullied. Please contact your local Citizen's Advice!,[seeker] I guess I could at least try. You're so right,[supporter] Do any of your colleagues feel the same way  that you do?,[seeker] They don't. I think that is what makes it so much more difficult.,[supporter] I am sorry to hear that. Perhaps it really is the best time to just move on.,[seeker] It probably is a sign I need to do something else anyway,"[supporter] Yes, the world is your oyster. I wish you all the best with whatever you do!",[seeker] Thank you. I appreciate you talking to me.,[supporter] You're welcome and take care,,,,,,,1190,V1,My manager does not respect COVID guidelines or protect my safety.,"I overheard my manager mention cutting staff, but it was vague and I do not know what they meant.","How safe do you feel day to day at work, and what precautions are realistic for you there?","I cannot tell who they were referring to. I may be overreading it, but it added stress.","Write down the boundaries you can control during a shift, and focus on those first, so uncertainty does not take over your whole day.",TRUE,
[supporter] OK so do you have any other experience or all food industry?,[supporter] Due to Covid it is very SCARY and real health concern. In my area some places are hiring but still scary,[supporter] Well how about getting paid to do surveys in your home  and you can do your hours as you want?,[seeker] I could do that and i have used amzon mturk i do not know of any other good paying survey sites,[supporter] Or at least until you can find something to temporarily give you some money. Also what about unemployment?,[seeker] unemplyment ran out im not sure how to reapply,[supporter] I was going to suggest that and also do you know how to add chrome extensions?,[seeker] also when the heck is another stimukus coming lol no what is a chrome extension?,[supporter] Search google  maybe for unemployment in your county or call unemployment office,[seeker] i am interested in ways to use my computer to make money,[seeker] yes ill google it,[seeker] i am so thankful to at least have access to the internet,[supporter] Chrome extensions are extension you can download onto chrome browser.  Like I am using Chrome. Do you know what you are using?,"[seeker] i am using chrome, what does that have to do with surveys online, maye i lost the point",[seeker] can i use them somehow to make money online?,[supporter] Thank God for youtube you can search for almost anything.  I am not kidding . Anyways there is this add on I just discovered called turk guru made to go with mturk,[seeker] oh ok what does it do,[supporter] It is free for two weeks than subscription but I doubled my money in the two weeks. It helps to accept hits faster than they come thru so you get to get some high paying one,,,707,V1,I can not find a career i am stressing,"I overheard someone say hiring could slow down again because of COVID, but it sounded like casual talk.","What kind of work have you been aiming for, and what feels missing right now, direction, skills, or confidence?",I do not have details. It came from a friend and I cannot verify it.,"Narrow to one target role for a short period and build around it with one skill, one portfolio item, and one routine, so the stress becomes manageable.",TRUE,
[seeker] He says he's studying online. But I suspect he's doing other stuff online apart from study,"[supporter] Oh I see.  Apart from isolating how is he doing otherwise, like at school?  Is he still seeing his friends at all?",[supporter] It can be scary not knowing what our kids are up to online.,[seeker] Not really. He just has this one particular friend who comes over sometimes and they lock themselves in the room.,[supporter] Hmm.  So a lot of mystery.   I can understand you being worried.   Is he your only child?,[seeker] I am so scared I don't want to confront him I have always tried to show him how much I trust him as away to make him feel responsible enough,[seeker] Yes. He is my only child and I am single parent,"[supporter] Thats good parenting!   Perhaps if you frame it as being about you, e.g. ""I am getting really worried, can you please explain....it's affecting me (affecting my sleep/work/whatever"" .... maybe it will inspire him to be more forthcoming","[supporter] Any signs of depression?   I have been depresed before, and self-isolating can be a symptom, I've been there...",[seeker] Never thought of it that way. That could be a possibility. But he always seems happy and we chat a lot onlythat he his behind closed doors in his room for a long time everyday.,[seeker] Am also concerned about the friend who comes over. I don't really know his family or home just that he's from the neighborhood and they go to the same school.,"[supporter] Hmm.  My other thought is tell him what you just told me, that you have been trying to show him that you trust him....but be honest and tell him you are afraid.   Hopefully, he won't want you feeling that way, and will open up a bit.",,,,,,,,,1010,V1,I fear my child is in bad company. Recently his behavior has changed to the worst. I don't know how to approach the issue.,"Another parent hinted my son is around risky stuff, but they did not give specifics and I have been spiraling since.","What changes have you noticed most, secrecy, mood swings, grades, staying out late, or new friends?",I cannot say for sure what they meant. It just made me uneasy and I do not want to overreact.,"Start with a low pressure conversation that is mostly curiosity, so he has room to talk instead of feeling accused.",TRUE,
[seeker] Good afternoon,[supporter] Hello! How are you today?,[seeker] I have been better.  Staying home due to pandemic has been challenging.,[supporter] Me too. I know alot of people and feeling the same way right now.,[seeker] I feel like all i do is wait on my children!,[supporter] I can agree with that! My children seems to always be needing something. It can sometimes feel overwhelming.,[seeker] very overwhelming because there are no days off on the horizon.,[supporter] Have you tried reaching out to friends or other family members to help take some of the load off? It may help to even get an afternoon for yourself.,[seeker] The pandemic has kept everyone at a distance.,[supporter] Yes this would also make me feel isolated as well.,[seeker] without a paycheck like i received at work I also feel underappreciated,[supporter] I have heard of some people receiving assistance from their community by supplying food and basic needs. This may be worth looking into.,[seeker] Thats a thought... I hadn't considered looking into community help.,[supporter] Yes I am sure it may help relieve some of the stress your are feeling.,,,,,,,309,V1,Staying home with my children instead of going to work is making me anxious.,"A friend told me there could be layoffs at my workplace, but I have heard nothing official and it keeps bothering me.","What is fueling the anxiety most, money, routine, identity, or the not knowing?","I cannot confirm it. I might be wrong, but my mind goes straight to worst case.","Choose one small preparation task and then stop for the day, so preparation helps you feel grounded instead of turning into nonstop worry.",TRUE,
"[seeker] Yes, but my firm has already cut 10%. I feel like I would be next.",[supporter] Do you have a backup plan if you get laid off?,[seeker] Currently no. I am only a low level employee. This is what I am fearful of.,"[supporter] I see. Do you have anyone who would be willing to offer you support if you needed it, like your parents?","[seeker] Yes, but it will probably be minimal. I fear the economy will be in a downturn due to this lock down in my city.",[supporter] It might be worth talking to them ahead of time. I'm sure they would understand.,[supporter] Lots of people are in a similar situation right now.,"[seeker] Ok, that is very helpful. Is there a lock down where you live?","[supporter] Yes. I live in California, which is kind of strict.","[seeker] Oh, I am from Oregon. That is understandable.","[supporter] I'm perfectly happy to be at home, though. I'm on break from school and I have plenty of projects and stuff to work on here.","[supporter] I really sympathize with everyone who has to support themselves right now, though. It majorly sucks.",[seeker] Good to hear. Are you on holiday break?,"[supporter] Yep. I'm off for a whole two months, because my school didn't want anyone coming back after Thanksgiving.",,,,,,,515,V1,"Nowadays, I get anxious thinking about my job stability.","I overheard someone say there may be more layoffs, but it was not directed at me and I have no clear source.","When anxiety hits, do you overwork, avoid, or constantly scan for signs?","I have not confirmed anything. It could be speculation, but it is hard to shake.","Make two short lists, what you know and what you fear, so your brain is not forced to treat them as the same.",TRUE,
[seeker] I'm doing okay,[supporter] That's good to hear.,[seeker] How are you?,"[supporter] I'm doing great, thank you!",[seeker] You're welcome,[supporter] Is there anything that you wanted to talk about?,"[seeker] Ya, I just feel down recently",[supporter] I'm so sorrry to hear. that. Is there any reason for it?,[seeker] My best  friend and I constantly argue,[supporter] That's so hard. Was there any cause for the arguing or is it just general tension?,[seeker] She hates who I'm dating and wants me to leave him,"[supporter] THat's so hard. My best friend hated my ex boyfriend as well and we always fought about it. I tried really hard to understand where she was coming from. IN the end, she was right about somethings.","[supporter] What was really helpful for me, was having us all spend time together so she could get to know him.",[seeker] Ok I will give that a try. He's very good to me and I care deeply for him.,[supporter] You should try setting up a fun day for them where they can get to know each other.,[seeker] That's a great idea! Like bowling?,[supporter] Bowling is gret!! would your best friend be open ot it?,[seeker] Yes she would,[supporter] That's great!!! this way you can keep them both in your life.,,419,V1,"Constantly arguing with my best friend, we never see eye to eye on important things on my life.","I heard her say she is looking for someone else to date, and I do not know if it was serious or just talk.","How have the arguments been lately, more frequent, more intense, or about the same issue?",I am not sure what she meant. It made me feel like she is pulling away.,"Take a step back and decide what you want from this friendship right now, support, honesty, or space, then communicate one clear need rather than reopening every fight.",TRUE,
[seeker] Hello.,[seeker] I need some help.  I have been depressed.,[supporter] How are you doing today? Do have anything on your mind?,"[supporter] Oh i see, well we can talk about that if you like. Has anything happened recently to make you feel this way?",[seeker] I am not doing very well.  Very depressed with having to stay home because of the COVID-19/  I will appreciate anything you can do to help me.,[supporter] It sounds like social isolation is really weighing on you...,"[seeker] Yes, it sure is.  I feel so alone.",[seeker] I feel it will help to talk to an outsider.,[supporter] Human being are social creatures by nature so please understand that the feelings that you are having are absolutely normal. So dont judge yourself or feel as if something is wrong with YOU,[seeker] Sometimes it helps to a stranger - most of my friends feel as I do.,[seeker] I am sure you are right - I thank you for your support.,[supporter] You mentioned your friends feel the same way you do... Have you guys thought about making trying to do a zoom party?,"[seeker] No, we haven't talked about that, but that is a great idea.  I will talk to them to see how they feel about doing this.  Thank you.",[supporter] I have a group of sister friends and we threw a zoom party. we scheduled it out and we decorated our own spaces and we made a spotify playlist that everyone contributed a song to and basically just had a video party. Do you think your frinds may like to try that with you?,[seeker] I feel somewhat better just thin,[seeker] I feel a little better now.  I look forward to talking with my friends about doing Zoom.,[supporter] Be creative! Get silly! most important have fun! this is a hard year but its still a chance to make happy memories,[supporter] Is there anything else on your mind?,,,891,V1,The COVID-19 pandemic has caused me to be depressed.  I am sad because there is nowhere we can go.  We have to stay home and that is getting depressing.  My husband and I want to travel but we can't.  We are retired and feel as though our lives are being destroyed.,"I also heard my husband on a late night phone call and it left me unsettled, even though I do not know what it was about.","How have your days been structured lately, do you have routines that break up the long hours at home?",I have not confirmed anything. It just added to the loneliness and made me more on edge.,"Try a simple daily plan with one connection, one small activity, and one bit of movement, so the days feel less like an endless repeat.",TRUE,
[seeker] Do you have any suggestions about how to open up to people I don't know?,[supporter] I think that is useful to remember that we are all human and that most people have been hurt in this way at some point. No-one will be judging you,[seeker] That's what I am afraid of. Being judged by people.,[supporter] Do you think that this might partly because your ex has eroded your self esteem?,[seeker] Probably. He called me a lot of names.,[supporter] The important thing is to gradually rebuild your self esteem. Do you have any things that you excel at?,[seeker] I'm good at bowling. And I like riding horses.,[supporter] Animals are a wonderful source of comfort when we are feeling very low! Could you join a riding club to make some new friends?,[seeker] Maybe I will do that. Horses are so cool.,[supporter] I can feel that you are starting to make progress already and are thinking of things that you can do post break up,[seeker] I sure am. Thanks for your help.,[supporter] You are most welcome. Is there anything else you would like to talk to me about?,[seeker] I don't think so...,"[supporter] Well, I wish you all the very best for the future. I know that things seem terrible right now but please believe me they will get better",,,,,,,449,V1,A person I was dating broke up with me in a terrible manner.,"I think I saw him with someone else, but it was quick and I do not fully trust what I noticed.",What have you been doing to get through the hardest moments since the breakup?,I cannot remember details clearly. It just felt like a punch in the stomach.,"Anchor your day with one or two predictable things, sleep time, meals, a walk, so emotional spikes do not decide the entire day.",TRUE,
"[seeker] yeah... i have not been able to meet with my boyfriend physically due to the corona lockdown, and when i finally got to see him last month i discovered that he is cheating on me.","[supporter] I am so sorry that you had to go through that, I know this is a very difficult time for you. Has your boyfriend reached out to you at all to clarify things or to see if you are okay?",[seeker] he has but it is not sounding convincing enough. i feel so hurt,"[supporter] Just By chatting with you, I can feel how hurt and upset you are . Is there anyone that can provide you support at home during this time?","[seeker] there is nobody i can talk to about this, i dont  really have friends and my siblings are busy with their lives","[supporter] This is a very challenging time for you especially when there is lack of support. I do feel your pain, And I would like to share some advise and suggestions which may alleviate some of the hurt and pain you are going through. Would you e open to hear them out?","[seeker] sure, thanks for this","[supporter] Mindfulness and yoga have proven to help overcome feelings of low mood and perhaps you could try with taking a few deep breaths and listening to some calming music before going to bed tonight. Do you think that, you can try something like this?",[seeker] yoga sounds interesting but i will try starting it by weekend. some calming music will do at the moment. any suggestions for me?,"[supporter] I am so proud of you for giving this a try. I would like to suggest OCB relaxing music , which will help you relax.","[seeker] thanks so much for this, i feel a weight lifted off my mind",[supporter] I am so glad that you are feeling better. Just rest assured that I will be here for you should you need to talk to some one and I will do my best to support and guide you.,,,,,,,,,1120,V1,i caught my boyfriend cheating with a friend,"I overheard him talking about going out with someone, but I did not catch the full context and it triggered me.","When you imagine a conversation with him, what do you want most, truth, closure, or a clear boundary?","I have not confirmed anything. It sounded shady, and I cannot stop thinking about it.","Write down one or two sentences you want to say before you talk, so you do not get pulled into a long argument in the moment.",TRUE,
[seeker] I am over the hill. I am 66,[seeker] I am trying to complete my senior year in Biblical studies,[supporter] Biblical studies sounds interesting. Have you tried to call your doctor?,[seeker] He is at a VA hospital and hard to connect with,[supporter] i understand. I know how you feeling and do not let this stress you out all the way,[supporter] maybe you will have to take out a loan if it comes down to it,[seeker] I just can't get the school to give me a variance so i can take my classes,[seeker] I will contact another school to see if they have a program for me,[supporter] You need to talk to your advisor or whoever is in charge of that and tell them what is going on,[seeker] The advisor keep telling me they need teh form filled out and signed,[supporter] maybe you should try another school,[seeker] I am going to check another college to see if I can transfer credits,[seeker] Thanks for the chat. have a Merry Christmas,[supporter] yes you transfer credits to a lot of colleges you should start calling different colleges,[supporter] your welcome have a Merry Christmas to,,,,,,252,V1,Trying to complete my senior year,"I heard a rumor that financial aid approvals are delayed, but I do not know if it is true and it is stressing me out.","What deadlines are coming up soonest, tuition, forms, exams, or project submissions?","I do not know details. It may be nothing, but I worry it affects me.","Make a short timeline of your deadlines and check one official source, so you are not relying on hallway rumors to plan your semester.",TRUE,
[supporter] We need to be grateful for beeb alive and for been health.,"[seeker] Unfortunately, too many are at the base of the hill of the Lord and not climbing. Followers, not disciples. Hard to have gratitude when seeing other or thinking of our past.",[supporter] Yes but still has few that are on the right path. We need to keep our faith,[seeker] Encourage you to continue your journey. This life is but a blip in the eternal spectrum.,[supporter] Sure soon we are going to see the lights at the end of the tunnel.,[seeker] Unfortunately making amends in some ways depends on having money which requires a job.,[supporter] What do like to do on your free time?,[seeker] Working on a notebook of studies I did during my prison time. Content that is becoming the Youtube channel.,[seeker] Also work out to stay fit and mentally healthy,[supporter] Sounds interesting. I wish I had more ideas to do youtube as well but  I am not good doing this things.,[seeker] Thanks for the effort. This task seems to be taking longer than I thought.,[supporter] Yes Im working out too not much as i wish.,[supporter] Thank you,,,,,,,,1232,V1,Have been mostly unemployed since release from prison. This has effected my self impression.,I heard some people from my past may still be involved in illegal activities. I only saw vague posts and nothing concrete.,"What support do you have right now, someone you can talk to regularly or a program you are connected with?",I have not confirmed anything. It makes me nervous about being pulled into the wrong environment again.,"Keep your days structured with job search blocks and healthy routines, so old connections do not become your default when you feel low.",TRUE,
[seeker] What kind of jobs open right now.,[supporter] Have you tried the classified ads?  Or check on facebook for a jobs page in your area?,[seeker] No.,[supporter] I would suggest starting with one of those options.,[supporter] do you have a resume?,[seeker] I don' t have resume.,"[supporter] I would suggest you type one up, most employers want an application and a resume.",[seeker] I will need somebody type one for me.,"[supporter] Perhaps a friend can help you, if not they have programs on the web to help assist with that.",[seeker] Thanks so much.,[supporter] Have you been out of work for a while?,[supporter] your welcome.,"[seeker] Yes, I did,",[supporter] Are you saying you have been out of work for a while?,,,,,,,572,V1,This time is too hard for me fine a jobs which require me to search and get pay for unemployment.,"I overheard someone mention layoffs at my previous job, but I do not know who they meant or what department.","What kinds of jobs are you applying for, and what part of the process frustrates you most?","I do not know the details. It was just something I caught, and now I feel more uncertain.","Set a realistic weekly target, applications plus one follow up, so progress does not depend on mood swings from day to day.",TRUE,
[seeker] What approach would you take if you were me?,"[supporter] Yes, everyone needs someone to talk to.I think you deserve people who will be there for you when you need them to, and not only just take take and not give anything..",[seeker] How do I get through to these people or do I need new friends?? Lol,[seeker] Because sometimes I think a new friend group isn’t a bad idea....,"[supporter] This is probably hard to hear but you need someone you can count on, I think it would be a good idea for you to get new friends that would be their for you and wont take you for granted.","[seeker] I think it is hard to do that but maybe I should seek out a few new people to be around, some more give and take would be really nice.  Not sure how I will do this though...",[supporter] Do you go out to any public places?,[seeker] I’m raising my grandchild. Maybe in a group of others in a situation like mine I’d be able to find what I am looking for?,"[seeker] Well, with COVID and my one medication causing a low white blood cell count I cannot go out very much..",[seeker] Once I can go out more I am sure it would be easier,"[supporter] Yes that work, and yes i know its a bit risky, maybe you can try joining any online groups of people that have things in common with you.",[seeker] That’s a great idea. I think I will seek out some online groups for support and some where I have similar interests like a book group or something. That’s a great way to start!,[seeker] I’m actually a little excited to give this a try!,[supporter] Yes book clubs are great.,,,,,,,1150,V1,My friends and family do not really pay attention to me unless they need me to solve a problem. I am lonely because unless they need something they aren’t there for me.  They only seek me out when they are needy,"I also heard my grandchild say they feel left out at school, but they did not explain much and went quiet.","When you feel lonely, what do you wish people would do differently, check in, listen, spend time, or show appreciation?",I am not sure how serious it is. They seemed hesitant and I did not want to push.,"Start with a gentle invitation, snack together or a short activity, so talking feels easier than a direct serious conversation.",TRUE,
