prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,session_id,label,situation,gen1,gen2,gen3,gen4,fixed,#,
[seeker] Not good,[supporter] I am sorry to hear you are not doing do good. Can you tell me how this feeling came about?,[seeker] I can't do anything correctly in my life,[seeker] No one recongnize me,[seeker] No one love me,[seeker] I am in depression,[supporter] It seems as if you may have some doubt and may feel unwanted and because of this you feel sad.,[supporter] Does this sound correct?,"[seeker] Yeah , i am in sad mood",[seeker] Can you help me,[supporter] Yes.,[seeker] .good family and good friends too.,[seeker] But still i miss something,[supporter] I have been were you are right now and i know you may be hurting at the moment.,,,,,,,115,Normal,I DON'T KNOW WHAT I WANT TO DO. I WANT TO ACHEIVE SOMETHING IN MY LIFE. BUT I DON'T KNOW WHAT IT IS AND ALSO I THINK ABOUT IT AGAIN AND AGAIN. BUT I DON'T KNOW WHAT I WANT TO DO. SO THIS MAKES ME DEPRESSED PERSON AND EVEN I CAN'T TALK WITH MY FRIENDS WELL,"When I talk to friends, they do not really get it.",Feeling lost like this can be isolating. What do you wish they understood about what is happening inside you?,I wish they knew how stuck and tired I feel.,Writing it down first could help you express it. Would you like to try putting your feelings into a few simple sentences?,TRUE,11,
[supporter] And that is okay. You don't need to feel guilty for things that you can't control. You can still be there for her without pretending to be in love,[seeker] That's exactly it. So do you think I should just talk to her and tell her how I feel? The thing is it's not like she can move out immediately. It's going to be a long drawn out experience.,"[supporter] I think talking to her and being transparent about your feelings is definitely the right move. In doing this, reassure her you still want to be friends and you aren't just ""kicking her to the curb."" Things will obviously be awkward for the first little bit, because continuing to live together will bring it's own difficulties. But the beautiful thing about that is, you guys are already used to it. :) So it's only hard if you make it hard","[seeker] Yes, I think I need to emphasize the friends element of it and potentially support her to move on. I suppose I'm fearful that it will never end but I'll need to face into that and stay strong, and obviously avoid being intimate as this would really hurt her if I continued to sleep with her. I need to be careful about that I think!","[supporter] Yes exactly. And from chatting with you, I can tell that you are a very caring person. You don't want to hurt her. I believe that you have the understanding of the situation, and you know what you should and shouldn't do in order to make it work. The hard part is simply getting the courage to finally discuss it. But I think you are going to be able to do that just fine!","[seeker] I must say, you have been fantastic to talk to about this, we have had a similar experience so I think the advice is coming from experience. Thanks for that!","[supporter] What I've gathered about you as a person, makes me confident that you probably chose a partner that will be able to have this talk with you and you both will come to an understanding.",[supporter] Yes I think it's very great we were able to connect on our issues! It definitely helps. You are welcome! :),[seeker] Thank you for a great conversation. To continue as is wouldn't be fair on her and I see that now.,"[supporter] Of course! And it wouldn't be fair to her, just as much as it wouldn't be fair to you. Your happiness is just as important!","[seeker] Yeah, I need to put myself first but also be considerate of her feelings. Thanks for that",[seeker] Take care and enjoy your day.,[supporter] Of course! I'm glad that you are feeling a bit better about everything! You as well!,,,,,,,,788,Normal,I don't love my partner any more and I don't know what to do for the best as she really loves me but it's not working.,I want to talk to her without destroying her.,You are trying to be honest and kind at the same time. What part feels hardest to say out loud?,That I do not feel the same anymore.,Gentle clarity can help. Do you want to plan a short way to say it that focuses on your feelings without blaming her?,TRUE,12,
[supporter] It sounds like you are a little apprehensive about attending school because you have not done it in awhile. Is this accurate?,[seeker] yes,[supporter] I can definitely understand that. I remember feeling a certain way when I pursued another degree. What would make you feel a bit more confident about the idea of school?,[seeker] I dont know to be honest,[supporter] It is certainly okay to feel nervous about it. This is a big step and a life-changing experience. You should be proud of taking that first step!,[supporter] What excites you about starting school?,[seeker] Thank you!,[seeker] Im excited for the high paying jobs i can get once i graduate.,[seeker] also i chose a field that will allow me to work from home. I will be able to support my family without having to leave them!,[supporter] That sure is exciting!,"[supporter] There are many ways to prepare for starting school. For me, becoming more organized helped me in preparation for school. What are some things that come to mind that would help you mentally prepare for this event?",[seeker] breathing techniques come to mind.,[seeker] you have helped me identify that it is simply just anxiety and i can better handle it now. thank you!,[seeker] I feel so much better and more confident!,[supporter] Wonderful idea! Meditation and deep breathing have proven to be extremely effective. I'm so glad this has helped! How do you see yourself fitting in the breathing techniques this week?,,,,,,264,Normal,I am just starting school & i feel like i not smart enough to graduate,"I keep freezing when I sit down to study, so I thought breathing could help.","That is a smart way to calm the panic. When do you feel the fear most, before starting or while working?",Right before I start.,"Try one tiny start step after a few breaths, like opening the material and reading one paragraph. Would that feel manageable?",TRUE,13,
[seeker] Hello.  Maybe you can help me calm down.  I just found out that I'm losing my job in January. (1),[supporter] Hello! I hope I can.,[supporter] I am so sorry to hear that. That's so rough. There are so many people going through this right now.,[seeker] Yes and that worries me even more.  More people competing for the same jobs. (2),[supporter] That's a fare worry but you can't be discourged. YOu need to think positively.,[supporter] You can use this as a time to reconnect with family and to get your resume together.,[seeker] I will have to do a new resume definitely. It's been awhile. (3),[supporter] That's a good activity !! Do you have anyone who can help you with it?,"[seeker] I'll have to think on that, I have a friend that might be able to help but it's been awhile for both of us (4)",[supporter] Do you have any hobbies you can work on while you're home?,"[seeker] Well I don't think they are hobbies, but there are things that need to be done around the house.  Guess I can keep myself busy at least (5)",[supporter] That's really helpfuL! staying busy is good.,[supporter] It's also really good time to reconnect with a loved ones and friends. You can try virtual connections.,,,,,,,,474,Normal,I will be losing my job in January.  I am very worried about finding a new one.,I look at job options and my mind goes blank.,"That worry is real. What feels most urgent, finding any job fast or finding the right long term path?","I want stability, but I also do not want to settle too low.",We can narrow it down for this week. Pick two role types to focus on and take small steps each day. Want help choosing the two?,TRUE,14,
[seeker] I don't feel like it is worth it.,"[supporter] I understand, I've been there before. You just have to take one step at a time and not overwhelm yourself . Have you tried any tools to help you get going?",[seeker] What kind of tools would you suggest?,"[supporter] What I find that works is to make out a list of all the things you want to accomplish and the possible steps you need to get there. It also helps to let someone know how you feel like a friend or relative, you would be surprised that being open with people can open up new doors in life.",[seeker] I can talk to my friends sometimes.,[seeker] I have big goals but can't seem to get little things right.,"[supporter] You feel like your friends don't listen or care? And trust me you are not alone. I am going through that as well. I messed up so you can say, but as time went on I realized that I can't live like how I was living anymore and I SLOWLY moved towards my goals. I just graduated phlebotomy school for example.",[supporter] What are your goals?,[seeker] Wow that's amazing. I want to start my own business but I have no money to start with.,"[supporter] Thank you! Yeah money is tight these days especially with the pandemic going on. If your business has a good idea there are many venture capitalist that are willing to invest in your idea. You can search for websites and pitch it to them. But don't let anyone stop you, you can do it!","[supporter] Or even search for people in different forums with the same ideas as you, you guys can collaborate and possibly bounce your ideas off each other.",[supporter] There are also loans you can get from the bank. Don't get discouraged. It's never too late.,[seeker] That is a great suggestion,[seeker] What else do you know?,[seeker] THank you for the encouragement by the way,"[supporter] Check out crowd funding websites. Like go fund me, indi gogo, kick starter, and just giving.",,,,,1077,Normal,My mind is consumed by depression,"Crowdfunding is on my mind, but I do not know how to describe my idea.","Depression makes everything feel harder, so even thinking about possibilities takes effort. What is the idea in one sentence, just rough?","I cannot even phrase it well, it feels messy.","We can shape it together. Say it in your own words, and I will help you turn it into a clear short description.",TRUE,15,
"[seeker] actually, I have initial plan to get the a  as a birthday gift for my wife before he came to ask for the money",[supporter] so you are scared your friend will get mad at you for buying your wife a car after he came asking for money from you? is that correct?,"[seeker] I don't know how to explain the matter,   why I can't  borrow him the money",[supporter] Have you talked to him recently?,"[seeker] yes, you are on l ine with me",[seeker] yes,[supporter] Has he said anything about the car?,"[seeker] no, he saw the post of the car on my status, but he did' nt say anything",[supporter] do you think he is mad at you?,"[seeker] yes, naturally he will congratulate me as he viewed the pictures",[supporter] i know this can be a tough situation but I believe this situation will pass and everything will be ok between you to,[supporter] do not let this stress you out or worry that he is mad everything will be ok,[supporter] i would suggest asking him if he saw your post about the car and ask him if he is mad about it,,,,,,,,340,Normal,"I do not know  what Kingsley, my very close friend will be thinking right now. He asked me 1000 dollars that he will pay back in a week time, although I have the money but I have planned to get my wife a car  today.",I feel guilty buying the car when he asked for money.,"This is a tough spot. What matters more to you right now, keeping trust with your wife or avoiding conflict with your friend?","I want both, but he is silent and it makes me anxious.","A simple message could help. You can say you care, you have a big purchase today, and you want to talk about timing.",TRUE,16,
"[seeker] i do hope they learn to be kind and strive to learn and be smart. games and devices have also become somewhat of the enemy, and savior somedays","[seeker] good plan, learn before you have your own, thats what my plan was, i was supposed to have life figured out before they got here",[supporter] One of my friends who has a really peaceful household maintains a high standard of speaking to her kids like adults and only engaging in conversation when they're speaking respectfully,[seeker] but ya know they have been the best teachers this far in my life,[seeker] good tips i will try to do that more and talk to them like adults,[supporter] I really like how she does that - only engaging in respectful conversation and not letting the yelling escalate,"[supporter] I work with kids sometimes, too, and it seems like they all just want to be big kids and be treated that way, too","[seeker] i try not to engage in harmful destructive communication yes that is important, i am so emotional it is hard to stay calm when i am not liking what's happening","[supporter] It's so hard! Who can be a full-time parent and best friend and take care of your own life, too","[supporter] It sounds like you have the best intentions, and you're working really hard on it",[seeker] well me hopefully lol,"[supporter] It can be so hard, so frustrating, and so easy to revert to those habits we both grew up with","[seeker] thanks i guess i make it sound ok, i am ok they are good kids at the core thewy kjust need to work on not freaking out",[seeker] yes it can i get loud too much and my mom always yelled i hated it and told myself I hated it growing up,"[supporter] I have a co-worker who has kids with special needs, and she has this great phrase for working with her kids",[seeker] what is it,[seeker] i must know lol,[seeker] any and all advice taken here,"[supporter] She says, ""is this a small feeling or a big feeling?"" and then, ""Are you having a big reaction, or a small reaction?"", and it really helps her kids self-soothe",,1007,Normal,my kids wont listen to me,"When I stay calm they listen more, but it drains me.","That takes a lot of patience. When do things fall apart most, mornings, homework, or bedtime?",Transitions and bedtime are the worst.,Small consistent routines can help. Would you like to brainstorm one bedtime routine that is simple to repeat?,TRUE,17,
[seeker] I use it sometimes for class but never for chatting with friends,[seeker] I just wish we could hang out again you know?,"[supporter] I most certainly do know!  I just think to myself daily that this vaccine is going to get things back to normal.  Hang on, we're almost there.  In the meantime I suggest Zoom.  It really does make things somewhat less isolating.",[seeker] Thank goodness the vaccine is being developed,[supporter] We're almost there!,[seeker] Yeah i guess ill give zoom a try,[seeker] do you and your friends do anything on zoom or just chat?,[supporter] And if you have an iphone facetime some folks.  Zoom and Facetime are my friends now.  lol I almost daily at least Facetime my best friend. Especially in the evenings.,[seeker] Yeah I think ill try that,[seeker] Chatting with my friends and seeing them (online) will hopefully make me feel better,[seeker] thanks :),[supporter] I would try it.  Also Meetup is doing virtual meetings.,[supporter] You're welcome!  We have to look out for one another!,[seeker] Ill give them a shot :),[seeker] thanks for your time,[seeker] have  a good day,[supporter] Sounds good! You're more than welcome.  You do the same,,,,733,Normal,I miss seeing my friends,Online game night might be the only way to feel close again.,"That could be a real connection point. What would feel easiest, inviting one friend first or messaging the group?","I think the group, but I fear nobody responds.","You can keep it low pressure. A short invite like I miss you, want to play this weekend, is enough.",TRUE,18,
[supporter] yes. tell me what happened?,[seeker] I am very stressed. My parents want to me to go to the school of their choice but its not looking good. If I dont go into their choice school I will have to pay for school on my own.,[seeker] Im not able to complete my work at school becuase of the stres,[supporter] it sounds that you dont feel heard by your parents.,"[seeker] Yes, they just tell me they want the best for me but its making my stomach hurt constantly",[supporter] i think you have done your best and you are continuing to try hard.,[supporter] i think you have done your best and you are continuing to try hard.,[seeker] Thank you. I just don't know what I should do about my school and future college endeavors,[supporter] everything happens  for a reason. you just have to stay calm.did you express yourself to your friends or a caretaker?,[seeker] My friends just tell me to take loans out like they are.,[supporter] do you think that will help you out?,[seeker] I think it would but I don't want to go into debt because of college,[supporter] try do get some online jobs so that you can cop up with both your college and finances.,[seeker] Okay I can try and do that,"[supporter] yes, i hope everything ends well.",[seeker] Thank you,[supporter] welcome,,,,846,Normal,"I am in the process of applying to colleges and my parents are making a big deal of getting into the school of their choice. If I do not, it is up to me to find a way to pay for college.",I keep thinking about loans and it scares me.,"That fear is valid. What do you want most, less debt, more choice, or less pressure from your parents?",Less debt and more control over my future.,We can make it concrete. Compare costs and aid options for each school so the decision feels less like a guess.,TRUE,19,
[supporter] I'm sorry to hear that. How long have you been married?,[seeker] Iam married for 5 yaers..and Iam not happy even a day,[supporter] I'm sorry to hear that you are unhappy. What sorts of things does your husband say and do?,[seeker] He is not very responsible at home and doesn't even bother to do his job sincerely..,[supporter] You have more responsibility at home. You would like him to help you more at home. What kinds of things would you like him to do?,[seeker] He is kind of sexually and physically abusing me for everything I do..and say..I want him to be a good husband and father to my kids..,[supporter] This is a serious matter. Have you spoken to anyone in the local government about this?,[seeker] No Iam very scared to get out of this relationship thinking about my kids..,[supporter] You need to be strong for the sake of your children. How old are they?,[seeker] can you tell me how to reach out to the government,[supporter] There should be a website for the local gov't in your city. Also: there are NGOs that help people in abusive relationships. They can provide counseling and more.,[seeker] okay  i will try to find them..also is there any peer support groups that you can suggest me,[supporter] I would contact a local hospital. They might have a list of NGOs that manage support groups.,[seeker] sure.. i will try to find for help. anything that i should consider,"[supporter] People want others to change, but usually that is too much to hope for. Important steps have to be taken by you first. The first step is to talk to someone and get perspective on your situation and learn what options you have.",,,,,,1056,Normal,fight with the partner,I want to talk to my husband in a way that changes things.,"Wanting change is important. If the conversation went well, what would be different afterward?",He would help more and communicate better.,Start with one specific request and one feeling. Keeping it focused can make it easier for him to hear you.,TRUE,20,
