session_id,label,situation,prefix1,prefix2,prefix3,prefix4,prefix5,prefix6,prefix7,prefix8,prefix9,prefix10,prefix11,prefix12,prefix13,prefix14,prefix15,prefix16,prefix17,prefix18,prefix19,prefix20,gen1,gen2,gen3,gen4,fixed,,
938,V1,My business is suffering because of the pandemic. I'm very worried I won't be able to pay my bills soon.,"[supporter] that is really tough. a lot of people are going through that, you are not alone",[supporter] what kind of business do you have?,[seeker] I sell cosmetics. I think a lot of people don't have money to buy non essential items right now.,"[supporter] christmas is right around the corner though, and it is almost the 15th. military get paid the 1st and 15th so there is still hope for a christmas rush!",[supporter] tax season is right around the corner too... there is defineately still reason to keep hope,[seeker] That might be true. I just don't know that business will ever recover.,[supporter] are you online or in store?,[seeker] Mostly online.,"[supporter] thats great then, online businesses are less likely to fail","[supporter] you know, i am in construction and there are soo many zoom meetings. honestly, i was in an office with 4 people and hardly wore make up. now with all these meetings i amd doing meetings constantly and i have had to start wearing more make up to look more profesional","[supporter] i know it can be scry, but you ust have to keep a positive attitude","[seeker] Yeah we don't have to shut down. But with so many people struggling to make ends meet, there just doesn't seem to be enough left over to buy extra things.",[seeker] and that's true. There are people on zooms that want to wear makeup.,"[supporter] also, i think it depends on where you are in the world. covid hit my area really hard around april/may, but things are completely back to normal now. people hardly wear masks, stores are open, it just takes time",,,,,,,"One more thing came up... I overheard someone say they thought he was unhappy before he died.""","What did they mean by that? Do you think there was something specific that was bothering him? I can see why that would feel heavy. What makes you think that might be the case?""
 ","I'm not sure about their reasons, but it feels vague and unclear.""","When we hear new interpretations about someone after they’re gone, it can complicate how we hold their memory. Uncertainty about what they were feeling can sometimes add layers that weren’t there before.""
   ",TRUE,,
861,V1,I have a large test and don't feel prepared,"[supporter] That sounds rough, do you know what triggers your anxiety?",[seeker] I have a large test coming up for school,[supporter] So it's the test anxiety that has been causing the stress.,"[seeker] yes, definitely","[supporter] I had a lot of anxiety before exams when I was in school, too.",[seeker] how did you manage stress,[supporter] I tried my best to get more sleep and I studied earlier so that I didn't panic at the last minute. That made it slightly less stressful.,"[seeker] that is what I try to do, I also exercise to relieve the stress",[seeker] the sleep part can be difficult,[supporter] That is great! Exercise is supposed to help a lot with stress and anxiety.,[seeker] Do you have any suggestions to improve sleep the night before?,[supporter] Many studies have shown that melatonin is a safe and effective sleep aid.,"[supporter] Boring podcasts are good for sleep, too.",[seeker] I've tried melatonin - hit or miss. I haven't thought of podcasts - maybe I will try that,"[supporter] I can relate to the problems with sleeping and test anxiety. I know that if you try a few things to see what works for you, it will get better.",,,,,,"There’s something else I wanted to mention... I might have heard that he was planning to move away, but I’m not sure if it’s true.""
  ","That seems really difficult to deal with. That's a significant detail. Can you tell me more about how you heard that? What makes you think that might be the case?""
  ","I can’t really confirm where I got the information from. It’s unclear who said it to me.""
   ","When the possibility of distance enters the picture, even as a rumor, it can quietly shift how secure or close things feel. Uncertainty about someone’s plans can carry more weight than the facts themselves.""
   ",TRUE,,
50,V1,"EVER SINCE THIS PANDEMIC HAS EMERGED IT JUST SEEMS LIKE THINGS HAVE BEEN GOING DOWN INSTEAD OF UP.  PRIOR TO THE PANDEMIC, I HAD A JOB OF 10 YEARS, CHILDREN WERE GROWING INTO TEENAGERS, AND THE HUSBAND WAS OUT OF TOWN WORKING AS HE HAS DONE OUR ENTIRE 21 YEAR MARRIAGE. WELL SINCE THE PANDEMIC, I WAS IMMEDIATELY LET GO AT WORK. THE TEENAGERS WERE SCENTENCED TO DITIGITAL LEARNING AND MY HUSBAND DID EVERYTHING HE COULD POSSIBLY DO TO HOLD THE ONLY JOB AND INCOME THE WAS COMING INTO THE HOME. BUT EVENTUALLY JUST A MONTH AGO THAT WAS TAKEN OUT FROM UNDER US AS WELL.  I DIDNT MIND NOT WORKING ALTHOUGH IT WAS AN ESCAPE FROM MY MOTHERLY DUTIES AND THE REALITY OF BEING A FULL TIME WIFE.  BUT NOW THAT WE HAVE REACHED JUST OVER A YEAR OF THE PANDEMIC IT HAS BROKEN ME DOWN IN SO MANY WAYS IT FEELS LIKE.  THE WHOLE YEAR WITH JUST THE HUSBAND WORKING WEVE STRUGGLED TO PUT FOOD ON THE TABLE AND PAY THE MONTHLY EXPENSES THAT COME WITH THE ADULT LIFE AND NOW IM A MESS",[supporter] Hey! How are you?,[seeker] Im tired how are you,[supporter] I'm good but what makes you tired?,[seeker] I dont sleep well anymore. Doctor says its part of the depression. Up 4 or 5 times a night. Eventually i give up and just stay up,[supporter] What makes you depressed?,[seeker] Life!!!!! Bills!!! Feels like im drowning instead of keeping my head above the water!!!,[seeker] I feel like ill be okay though!!! I still have a little bit of positiveness in my head,[supporter] You will be able to keep your head above the water thats the spirit!,[seeker] Just keep swimming right? Lol,[supporter] Keep that positivity inside your head :),[supporter] And lol yeah do that,[seeker] Will do thanks for the encouragment.,[seeker] It helps,[supporter] Yeah do your best :),,,,,,,"I also heard something that’s been on my mind... I overheard some of my coworkers saying that layoffs might happen next month, but I'm not sure if it's true.""","That feels concerning. Who did you hear this from? I can see why that would feel heavy. What details stood out to you?""
 ","I can't tell for sure, but it was mentioned in a casual conversation. It might be just rumors.""
  ","When uncertainty spreads through informal conversations, it can quickly take on a sense of urgency, even without solid information behind it. Sometimes the atmosphere shifts before the facts do.""",TRUE,,
1243,V1,I am having real trouble sleeping and it's bring me down so much.,"[seeker] Yeah it's a pretty good mattress, but it is a few years old now, I'm not sure how often you're supposed to replace them?","[supporter] Hmm I can't recall, I can't afford to replace mine regularly enough lol.  Maybe google it?","[seeker] Yeah maybe, at this point it's worth looking into anything that could help!",[supporter] Do you have someone to talk to about the thoughts that are racing?,"[supporter] If they are worries, maybe a counsellor would help.","[seeker] Not really, I don't really have any friends and my boyfriends a bit weird about stuff like this, I can't really talk to him about things like this.","[seeker] Yeah maybe, I have been considering a counsellor myself.",[supporter] Hmm that's a challenge not having friends.   Have been there too!,"[seeker] And I don't know how to go about finding new ones! I don't think I'm someone people like to be friends with, I try to make friends but they always move on.",[supporter] I don't want to give you a huge barrage of suggestions but another thing that helps me is a podcast called Tracks to Relax.,"[seeker] Sounds interesting, I'll have to look it up!",[supporter] Well maybe you just haven't met the right people yet.  It takes time finding someone we click with,"[seeker] That's true, maybe they weren't meant to be my friends. Anyway, thank you so much for your help but I have to shoot off.","[supporter] It's probably not you!   When people drift away from me I always say to myself ""Oh well, their loss!""",,,,,,,"I also heard something that’s been on my mind... I overheard some classmates say that she might be failing a few students.""
   ","That's concerning. Can you tell me more about what your classmates said? That’s a lot to carry. What makes you think that might be the case?""","I'm not sure if it's true, but it makes me worried. I haven't confirmed this with anyone.""","When stories about grading circulate, they can quickly heighten how uncertain or high-stakes a class feels, even before anything changes personally. Rumors alone can shift how secure we feel about our standing.""
  ",TRUE,,
881,V1,I'm about to lose my job because my company is not able to negotiate my existing contract and I'm unable to secure another job. I feel anxiety on what to do and next steps to take.,[supporter] I think a good place to start would be your doctor - they might be able to refer you to a counsellor.,"[seeker] I understand seeking professional help is a good move. But its more the feeling of uncertainty that I have trouble coping with. I know if I can overcome this, I can deal with it and move on. Any ideas?","[supporter] Would you consider taking some sort of job on a temporary basis, even though it is way out of your normal field?  Bar tending or something? Just to make you feel you were earning.","[seeker] I do have side incomes, but I lost majority of my income. But I know I can find something in the future. I just need to overcome this anxiety and nervous feeling. Maybe then I can have confidence.",[supporter] Would you consider medication? It's not a panacea but it can help in the short term.,"[seeker] No medications, a bit stronger than that. I can cope without that. Probably might seek a professional and talk it out.",[supporter] Whatever you do don't go self medicating! That does not help at all.,[supporter] I hope I have been able to give you a little bit of piece of mind and I wish you a good deal of luck in the future,"[seeker] That true, I meant I dont want any medications. Might try other coping techniques, talking, breathing.",[supporter] That sounds like a really good idea! All the best,"[seeker] Thanks for the advice of the professional though, I think its a good start. I feel better now.",[supporter] Anyway thanks for talking :) Can you press the quit button as I am not allowed to my end.,"[seeker] Yes, thank you for helping and good luck with everything.",[supporter] Glad to hear :),,,,,,,"Another detail has been bothering me that I'm worried about. I heard from a friend that there's a new variant of COVID-19, and I'm not sure if it's true.""
   ","That sounds really tough. That feels concerning. What did your friend say about this new variant? Is there anything else you noticed?""
  ","I'm not sure about the details he mentioned. It’s unclear how serious it is or if it would affect me personally.""
  ","When new health information circulates without clear details, it can quickly heighten how vulnerable things feel, even before the scope is understood. Uncertainty alone can make the situation seem more immediate than it is.""
   ",TRUE,,
233,V1,Distance learning is difficult. I'm having trouble with school and my grades seem to be dropping.,[supporter] School started already . That good idea to go and attend,"[seeker] We aren't doing in-class learning. My mom is high-risk so I'm not attending to minimize possible exposure. The option is there, but if you can't because of health reasons, they let you stay home and do online learning all week. For my mom's sake, that's what I'm doing.",[supporter] You are so kind. Thinking about your parents. Only few months you have to deal. She will get vaccine soon,"[seeker] Hopefully she can get the vaccine soon. She's afraid of it because it's new, but she knows she has to get it.","[seeker] She's been talking to her doctor about setting up an appointment. I've heard the second dose can make you feel pretty gross, so that's what I'm worried about. I hope it doesn't affect her too bad.",[supporter] I got last week my first dose. Tell her not to be scared at all.,[supporter] Don't worry at all. Believe me,[seeker] Oh that's great! Does it hurt? I know I should get it eventually but I'm low on the priority list cuz I'm healthy. But I'm afraid to get it because I'm terrified of needles lol,"[seeker] Thank you, you're too kind",[supporter] Not at all. It is very easy. Easier than flu shot,"[seeker] Oh, good. That does make me feel better. Thank you for that.",[supporter] Your welcome,,,,,,,,,"There’s another situation I’m unsure about... I overheard some friends saying that my grades might drop even lower if I don't change my study habits, but I'm not sure if it's true.""
  ","What specifically did they say about your study habits that makes you concerned about your grades? That’s a lot to carry. Is there anything else you noticed?""","I think they mentioned something about not keeping up with the assignments, but it’s unclear if they're just exaggerating or if there's actual evidence.""
  ","Hearing comments like that can sometimes shift how we see our own performance, even when the facts aren’t fully clear. Uncertainty around feedback can quietly change how confident we feel about our progress.""
 ",TRUE,,
22,V1,overall daily stresses,"[supporter] I understand; sometimes I have moments like that, too.","[seeker] like time is moving on so quickly and there's so little hours in the day but I feel that I don't do enough in a day with my school, kind of distracted or wasted time and then when I do something, I look at the time and am sometimes surprised at how much time had actually elapsed when it felt like I didn't do much.",[supporter] What kind of things are you doing for yourself?  Do you have a place to or a thing to do to...decompress?,"[seeker] I think this has to do with the pandemic at the start of the year and that changed my momentum and rhythm in life and coupled with social isolation, which puts a damper on my studying mentality, I think.","[seeker] I spend tons of time at home nowadays. I try to surf the net and read up on stuff, and that takes a lot of my time, and kind of aimless, and what I would say is procrastination. I work out from time to time, but not as much as I used to before the pandemic.","[supporter] Sure, it sometimes feels like time is different right now.   Like your typical life patterns just did a complete circle.","[seeker] I wanted to set aside hobbies and things to develop, like writing during the pandemic, and improve on that skill, but I never got to do that. And now so many months have gone by, and all that's on my mind and plate now are my studies, because it's like I do things slower and leave it till the last minute, even though I know I can pass, but just not as good a mark as I would have liked and not my usual work and study ethics from before.","[seeker] yeah not only a complete circle but to me, it's like an aimless road to nowhere, and it goes on and on and repeats day after day",[seeker] that's how it felt for the last few months,"[seeker] and everyday is the same and at home, and only two months ago I started working in a new part-time position and that got some normalcy back and less stress and alleviated unpredictability with the economy for me.","[supporter] Understood!  I'm not in the exact same situation, but I feel you.  There's the thought there would be so much to do things and...there's not.   And you feel stuck a bit.","[seeker] stuck for sure. It still amazes me that it's november and not march, because it still feels like that.","[seeker] and nowhere as festive, fun, and alive as last november. It's a huge change",[supporter] Definitely a massive change!,"[seeker] it feels nothing special, and not normal, and not even like a real november, you know? It's like even if it's christmas, I wouldn't ackowledge it's christmas even though it is, because of the changes and we can't do the things w e used to do.","[seeker] hopefully, scientists can study all these phenomena and our physiological, social, and mental responses to the pandemic. There will be so much that can be learned from all this, I feel.","[supporter] Of course.    We can'r celebrate the way we used to, we might not be able to visit family.   Oh yes, this is a learning opportunity about anxiety and isolation",,,,"I wanted to add something else. I heard from a mutual friend that my ex might be seeing someone else, but I don’t know if it's true.""
  ","That sounds unsettling. Do you have any idea how reliable that mutual friend is or what they based that on? That’s a lot to carry. When did this come up for you?""
  ","I’m not sure. They didn't provide any details, so it's unclear if it's just gossip or if there is some truth to it.""
   ","When news like that surfaces, even without details, it can stir up parts of the connection that haven’t fully settled. Uncertainty about an ex’s life can sometimes reopen questions we thought were already answered.""
  ",TRUE,,
1215,V1,A very close friend is suffering from bi-polar disorder and is having difficulty with everyday life.,"[supporter] To confirm your friend mark, you suspect he is not taking his medicine and that is why he is acting the way he is?","[seeker] Yes, it is affecting me.  In sum, I'm the only one left in his corner, but I feel like he's slipping away and becoming completely dysfunctional.  It's tough with privacy laws for me to even talk to his doctor to see what's going on.  I did send his doctor a long email, however, so hopefully he'll make whatever adjustments need to be made.","[seeker] That's my suspicion, because things seem to be getting worse, quite honestly.",[supporter] Have you talked to mark about his behavior and how it is affecting everyone around him?,[supporter] I can understand how you feeling and that you are trying to help your friend. you are a very good friend for doing that.,"[seeker] I have talked to him repeatedly.  Each time, he assures me that he understands my concerns and that he's going to get things together.  Literally, within a day or two, I hear from a mutual friend or family member that he's reverted back to doing things that are sociopathic.",[supporter] Have you asked him about him taking his medication?,"[seeker] I have.  He tells me that he's taking it regularly (or most of the time).  I challenged him on it and told him it can't be ""most of the time.""  That's why I sent his doctor a long email, explaining things to him, to see if he can't intervene and try to straighten him out.",[supporter] ok. dealing with someone with bi-polar disorder can be really tough and challenging but it is not there fault that they are acting the way they are. They just honestly can not help it. I know you are doing everything you can to help him and to stop him from acting that way.,"[seeker] You're right.  Mental illness, in all of its forms, is especially challenging.  Physical illness is more easy to understand, of course.",[supporter] you are right. So do not think he is doing it on purpose. Do not let it bring you down or hurt your feelings in anyway.,[supporter] When did this exactly start happening?,"[seeker] Thank you.  I think you understand the sadness and anxiety in feeling powerless in this situation (or mostly powerless).  I have no real expertise in this area, but by contacting his doctor, maybe he can reevaluate whether the medicine and dosage needs to be changed.","[seeker] Funny you ask.  He's a grown man - 35-years old.  I've never known him to have this issue, which seems so strange to me.",[supporter] I understand a lot.,[seeker] It started about 14 months ago - at least that's when people started alerting me to strange behavior.  I thought people who were bi-polar contracted the illness earlier in their life.,[supporter] How long have you known about his bi polar diorder?,"[seeker] Around 10 months ago is when I first found out.  Since then, I've received about 5 phone calls from people expressing concern.  I've visited him 3 times.",[seeker] Thanks for being so engaged and sympathetic.  It does make me feel better just to unload anonymously on here.  Thanks for carrying my burden and offering your support.,[supporter] i got you. having a mental illness is challenging and i can provide you some suggestions.,"I wanted to add something else... I overheard a friend mention that they think I might be drinking to cope with something deeper, but I'm not sure if it's true or just their opinion.""
  ","What do you think they might be referring to? Is there something specific that makes you think about your drinking habits? I hear that this is a lot. Is there anything else you noticed?""
  ","I can't tell for sure what they meant. It could be related to stress at school, but I haven't confirmed anything with them.""
 ","When someone reflects something back to us like that, it can sometimes shift how we interpret our own behavior, even if the meaning isn’t fully clear. Uncertainty about their intention can quietly turn into questions about ourselves.""
 ",TRUE,,
1054,V1,My girlfriend broke up with me because of race.,[seeker] Hi. How is your evening?,"[supporter] Hello, I am doing well, thank you for asking :-)  What can I help you with tonight?",[seeker] I’m feeling pretty down and angry.,[supporter] I'm sorry to hear that.  Is there a particular issue that you are upset about?,[seeker] My girlfriend broke up with me.,"[supporter] That's a really rough situation to deal with, your emotions are totally understandable.",[seeker] I’m feeling so down. Especially why she broke up with me.,[supporter] What was the reason she gave for breaking up with you?,[seeker] She is black and I’m white. It was tough on the relationship.,[supporter] Cultural differences can be insurmountable obstacles in a relationship for some people.,[seeker] I know but our synergy was amazing. I miss her so much. That skin drove me crazy!,"[supporter] Getting over the good parts of a relationship can be hard.  For some reason our brains like to obsess over the good parts like they were the only part of the relationship, and ignore all of the problems.",,,,,,,,,"Something else came up recently that I'm not sure how to interpret. I overheard a coworker mention something about my business struggling, and it made me think they might be worried about its future.""
  ","That sounds really tough. That seems worrying. What did you hear exactly, and how did it make you feel? What details stood out to you?""","I'm not sure what was meant by it, but it kind of made me anxious. It's unclear if they were talking about my situation specifically or just expressing general concerns.""","When we catch fragments of how others might be viewing our work, it can sometimes amplify doubts that were already there, even if the comment wasn’t directed at us. Ambiguity can make those interpretations feel heavier than the facts themselves.""
   ",TRUE,,
717,V1,"My youngest sister is battling with heroin addiction, and I am raising her two children.","[seeker] She has been in and out of rehab, and I see no end to her problems, other than a tragic one.  Thankfully, the children are adjusting to it, probably because they are happy just to be in a stable environment.",[supporter] Are you raising them alone?,[seeker] I have a romantic partner who helps.  I also have two of my own relatively young children.,"[seeker] So, four in total.",[supporter] That's a lot of children! It's great that you have a partner who can help you.,"[supporter] A dear friend of mine is in rehab and had to give up her children, it is really awful to watch. It makes me feel so helpless, so i understand how you msut be feeling.","[seeker] Thanks for being sympathetic and for the words of encouragement.  Yes, needless to say, Child Protective Services were involved, and I was granted Foster Parent status.  I'm sure your friend went down that road, sadly.","[seeker] Have you ever seen the video by the artist known as NF called ""How Could You Leave Us?""  I'm afraid that's what's next for these kids.","[supporter] Yes, she did. Her children seem very lucky to have you. Do they get along with your children?","[supporter] I haven't seen that, waht happens in it?",[seeker] They all get along famously.   You can find that video on YouTube.  It's a true story of how his mother died from heroin addiction.  It's a powerful song.,"[seeker] Hopefully, you never have to experience it.  Heroin (opioids) just grabs hold of people and doesn't let go.",[supporter] That's so awful. the only thing you can do is show the kids love and make them feel cared for.,,,,,,,,"Another thing happened... I heard from a friend that my partner might be talking to someone else.""
  ","That’s a lot to carry. That's concerning. Can you tell me more about what your friend said? What happened right before that?""
 ","I can't say for sure if it's true, but it's been on my mind a lot lately.""
  ","When something like that lingers in the background, it can subtly color the way every interaction feels, even without confirmation. Sometimes it's not just the information itself, but the space it starts to occupy in your thoughts.""
  ",TRUE,,
827,V1,Hello. My baby of 11 years had passed away last week. This would be my pomeranian and I am devastated. I am fearful now of getting another puppy during Corona.,[supporter] Getting a new puppy might be a way to make you feel happy during this dark time in your life.,"[seeker] I work at home now and I have a husband who does the same. Also my two kids got o school online. They are sad as well, but everyone knows he was my bestie,",[supporter] It might be just what you need to have something to wake up and look forward to each day.  Especially during times like now when everyone is spending so much time alone inside.,[seeker] It is a spot not filled by humans.,[seeker] Yes. I suppose. Maybe even two would be better.,[supporter] I completely agree.  Having a dog as a companion has been a life saver to me in so many situations.,[seeker] I would want him to have a friend this time.,[seeker] What kind of dog do you have?,[supporter] Having a playmate for the dog will make it easier to justify leaving when you do need to go back to work in the office.  The puppy won't be lonely.,[supporter] I have a yellow lab!  He's great!,[seeker] I hope to get a dog who enjoys working out with me like he did.,[seeker] Oh and I am not going back into an office!,[seeker] Not for awhile...probably not forever.,[seeker] I do have the option of staying home and working indefinetly so I am grateful for that.,[supporter] I'd suggest a dog with a lot of energy if you like to workout!  What kind of dog did you have previously?,,,,,,"I also heard something that’s been on my mind... I've been hearing rumors that my mom might have lingering effects from the virus, but I'm not sure if that's true.""
  ","That sounds unsettling. What specifically have you heard about her lingering effects? I can see why that would feel heavy. What makes you think that might be the case?""
  ","I haven't confirmed anything, and it's unclear what they really mean by lingering effects.""
   ","When uncertainty touches someone we care about, it can quietly shift the sense of stability around them, even without concrete information. Sometimes it’s the not knowing that carries the most weight.""
   ",TRUE,,
466,V1,covid stress,[supporter] That is stressful to think about but would be a necessity. The only thing you all can do if it comes down to it is try to set it up so you all can be as comfortable as possible during the period.,[seeker] That's true. everything just feels so out of control,"[supporter] When i feel like everything is out of control, i try to focus on small tasks that i can complete with ease. Maybe you can focus on setting up quarantine room, or getting medication and food to last for those weeks just in case. Worst case out of that is that you have some extra food and medicine.",[seeker] i can focus on the things i can control - that's good advice. what have you been doing to stay sane through all of this?,"[supporter] Well for one my house has never been so spotless ha. I have been exercising more, going for more walks with my dog, having more family nights, just anything really that can take my mind of it.","[seeker] i haven't felt like doing much of anything, my house is wreck. where are you finding motivation","[supporter] I did not want to let my fears control me. Believe me the first month or so i did just that. I just wanted to feel better. I started small, cleaning one room at a time. Making a small list to get done. Sooner than later the lists got longer, the place got cleaner.",[seeker] did you find a list online or make it yourself?,[supporter] I made one starting with the easiest jobs first.,[seeker] what should i do when i finish cleaning?,"[supporter] Have you ever wanted to try a new hobby? Knitting, woodworking, anything really?","[seeker] good idea, i am just finding it hard to get away from the constant bad covid news. i feel like i'm always on high alert. it's stressing me out",[supporter] I was checking 10 times a day. What really helped me was to actually stop checking. Maybe just try to get some local news but dont let it consume you.,,,,,,,,"There’s another situation I’m unsure about at work that I'm worried about. I overheard some colleagues saying there might be layoffs due to the decline in business, but I'm not sure if it's true.""
   ","That sounds really concerning. Have you had a chance to talk to anyone in management about what you heard? That’s a lot to carry. What happened right before that?""
   ","I haven't confirmed anything with management. It's unclear what will happen, and I'm just trying to focus on my work.""
  ","When possibilities like that start circulating, it can subtly shift how predictable the future feels, even if nothing concrete has changed. Uncertainty alone can make everyday tasks feel more fragile.""
 ",TRUE,,
786,V1,i lost my job and have no more savings.,[supporter] Hello! How are you doing today?,"[seeker] Hi, how are you? Are you working?",[supporter] I am working today.,[seeker] I've been working from home since March. Today I get a letter saying I have to return to work. Can my job make me come to the office?,[seeker] Are you working from home?,[seeker] Hello? Do you know of anyone who was in this predicament?,[seeker] Can they fire me? What should I do?,[supporter] Different jobs have different policies so you could check into that. I do know people who have had to do that.,[supporter] I would caqll and talk to my boss about how I was feeling and see if there is a solution.,"[seeker] Who would I check with? The letter says ""failure to return to physical could result in loss of employment.""",[seeker] We dont have access to our bosses where we can just randomly call them up. Have you helped anyone else with this problem?,[supporter] You have a direct supervisor or a human resource person that you could talk to at the company. They should be able to answer those questions for you.,,,,,,,,,"content"": ""Something else came up recently that I might be worried about. I overheard him talking about some political group that seems a bit extreme, but I'm not sure if he actually supports them.""
 ","That sounds really tough. That's concerning. What exactly did you overhear him saying about that group? When did this come up for you?""
   ","I didn't hear everything clearly, but it sounded like he was defending their ideas. It's unclear if he's really on board with them or just trying to fit in.""
   ","When we catch fragments of someone’s views without the full context, it can sometimes shift how aligned we feel with them. Ambiguity around values can quietly introduce questions that weren’t there before.""
  ",TRUE,,
318,V1,My friends won't hang out with me,[supporter] Hi.  How are you?,"[seeker] Hi, I feel really sad.",[supporter] I am sorry.  What is going on?,[seeker] My friends won't hang out with me. I am alone all the time.,[supporter] So you feel like they don't want to be around you and have nobody to talk to?,"[seeker] Yes, but also just no one to hang out with. I am a loner.",[supporter] You prefer it that way?,[seeker] No. I want to hang out with people.,[supporter] I follow you.  It is hard to see people outside of usual social circles right now with the pandemic going on.  Out of curiosity tell me what you like doing with others?,"[seeker] I like to talk with them, listen to their stories, just hang out have a good time.",[supporter] I can understand that. I have not seem my own friends for almost a year because of COVID-19.  It felt isolated and lonely.,[seeker] What do you do to feel better?,"[supporter] It has not been easy but I focused on myself.  I started doing more exercise and weight lifting.  I took up learning how to invest money, and I also got into the habit of reading. Basically I build myself up in body, wallet, and mind so I feel better about myself progressively.   It worked well for me at least.  What do you think might help you?",[seeker] That all sounds great. I think I'll need to do more exercising. I do like reading so I'll do that too.,[seeker] Thank you for the suggestions! I appreciate it.,[supporter] What would you say might be good exercise or reading goals for you?,[seeker] I think just start doing them and continue doing them are good goals for me for now.,[seeker] Thank you! I feel better!,[supporter] Whatever works for you. All the best and stay safe.,,"I heard something recently... I overheard my supervisor saying she thinks I should be replaced, but I'm not sure if it's true. It felt really demotivating to hear this.""
 ","That sounds really concerning. Can you tell me more about what you heard or how it made you feel? I can see why that would feel heavy. What happened right before that?""
   ","I can't tell for sure if she really meant it or if I misinterpreted her words. It just made me feel even more insecure at work.""
 ","When feedback or comments feel unclear, they can sometimes amplify doubts we already carry about ourselves. Uncertainty like that can quietly affect how safe or confident a workplace feels.""
  ",TRUE,,
84,V1,Coronavirus is making me very panicked about leaving the house and I'm almost scared to do anything these days.,[seeker] Yes. I watch the news and it's everywhere these days. There seems no end to it.,"[supporter] Yes, there seems to be some credibility to the claim - the effectiveness of the vaccine. So I would say even though it seems a lot difficult, there is some hope early next year.",[seeker] What of his vaccine doesn't work. Even the thought of leaving the house still feels me with worry and I start to feel panicked. It's like my mental Outlook has completely changed.,"[supporter] I understand your concern. In fact, a lot of people have questioned the effectiveness given how fast it was developed. Are you anxious because you have to provide for your family besides yourself?","[seeker] In fact I have been on sick leave from work since it started. My partner is understanding to a point but yes, I'll need to provide once this is all over. I'm starting to think I'll be scared of leaving the house, even when Covid gets managed and we gather back to 'normal'","[supporter] I too, have been working from home for the past 9 months. And I am the sole provider for my family. So I understand how frustrating this can be.",[seeker] it's great that you can relate. how are you managing those frustrations?,"[supporter] The key, however, is our mindset and how we approach the problem. If you are afraid about going our during peak hours, you can step outside during non-peak hours. This is just an example. Everybody's situations and preferences vary.","[supporter] I am frustrated, but I cannot cultivate inaction. Because I have mouths to feed. So I have developed a mindset to tackle the problem by taking all the precautions I possible can.",[seeker] so you mean maybe leave the house when it's really quiet to begin with? then slowly build on that over time. isn't this called exposure therapy. I think I have read about this,"[supporter] In essence, I know the factors under my control, and I try to control them and work them in my favour. I make it a point not to worry too much about factors outside my control.","[seeker] I suppose it makes no sense to worry about things you can't control. I think from my perspective that's exactly the problem, not having control. I don't know why this has affected me so much?",[supporter] Because it's a new situation to most of the world's population! People take time to adjust.,"[supporter] You take care of factors under your control - wearing a mask , social distancing when outside and washing/sanitizing hands whenever you can.",[supporter] Try not to pay too much attention to factors OUTSIDE your control - how many people are there and if social distancing is followed to the letter by OTHERS,[seeker] yes I know about all the guidance and it would help to follow this. I see my friends dealing with it just fine. I wonder what is making it so hard for me? perhaps I'm overthinking it and just worrying about it excessively.,"[supporter] Ya, that might be the root cause. Talk with your partner and try going out when you and them feel it is safe to do so. Start cautiously, then slowly return to your ""normal"" outdoor times.","[supporter] It can be intimidating at first, but if you don't try, you may never be able to overcome the anxiety or fear.",[seeker] yeah I think I really need to give that go. if that doesn't work maybe there are some support groups out there?,"[supporter] I am sure there are, but make sure those groups are social distancing as well. We are all in this together and we can definitely overcome it :)","I wanted to add something else... I think I saw my ex with someone else, but I'm not sure if they're actually together or if it was just a friendly interaction.""
 ","That seems really difficult to deal with. That sounds really tough. Can you tell me more about what you saw? How did it make you feel? What details stood out to you?""
   ","I can't tell for sure what was going on, but it definitely made me feel uneasy and confused.""
  ","Seeing something like that, even without knowing the full story, can stir up feelings that haven’t fully settled yet. Moments like that can linger longer than we expect, especially when things still feel unresolved inside.""
 ",TRUE,,
